types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Minstrel,joglar,733,9,1.0,0.0,4,95,== Works == | === Performance ===
http://dbpedia.org/ontology/MusicalArtist,http://dbpedia.org/resource/Minstrel,joglar,733,9,1.0,0.0,4,95,== Works == | === Performance ===
http://dbpedia.org/ontology/PersonFunction,http://dbpedia.org/resource/Minstrel,joglar,733,9,1.0,0.0,4,95,== Works == | === Performance ===
