types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatHinduDevotionalTexts,http://dbpedia.org/resource/Stotra,Stotram,124,38,0.999999999999929,0.0,0,20,== Musical Journey == | === Devotional/Spiritual ===
http://dbpedia.org/class/yago/WikicatHinduTexts,http://dbpedia.org/resource/Stotra,Stotram,124,38,0.999999999999929,0.0,0,20,== Musical Journey == | === Devotional/Spiritual ===
http://dbpedia.org/ontology/Food,http://dbpedia.org/resource/Stotra,Stotram,124,38,0.999999999999929,0.0,0,20,== Musical Journey == | === Devotional/Spiritual ===
http://dbpedia.org/class/yago/WikicatChants,http://dbpedia.org/resource/Stotra,Stotram,124,38,0.999999999999929,0.0,0,20,== Musical Journey == | === Devotional/Spiritual ===
http://dbpedia.org/class/yago/Writing106362953,http://dbpedia.org/resource/Stotra,Stotram,124,38,0.999999999999929,0.0,0,20,== Musical Journey == | === Devotional/Spiritual ===
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/Stotra,Stotram,124,38,0.999999999999929,0.0,0,20,== Musical Journey == | === Devotional/Spiritual ===
http://dbpedia.org/class/yago/WikicatSanskritTexts,http://dbpedia.org/resource/Stotra,Stotram,124,38,0.999999999999929,0.0,0,20,== Musical Journey == | === Devotional/Spiritual ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Stotra,Stotram,124,38,0.999999999999929,0.0,0,20,== Musical Journey == | === Devotional/Spiritual ===
http://dbpedia.org/class/yago/AuditoryCommunication107109019,http://dbpedia.org/resource/Stotra,Stotram,124,38,0.999999999999929,0.0,0,20,== Musical Journey == | === Devotional/Spiritual ===
http://dbpedia.org/class/yago/Chant107034634,http://dbpedia.org/resource/Stotra,Stotram,124,38,0.999999999999929,0.0,0,20,== Musical Journey == | === Devotional/Spiritual ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Stotra,Stotram,124,38,0.999999999999929,0.0,0,20,== Musical Journey == | === Devotional/Spiritual ===
http://dbpedia.org/class/yago/ExpressiveStyle107066659,http://dbpedia.org/resource/Stotra,Stotram,124,38,0.999999999999929,0.0,0,20,== Musical Journey == | === Devotional/Spiritual ===
http://dbpedia.org/class/yago/Matter106365467,http://dbpedia.org/resource/Stotra,Stotram,124,38,0.999999999999929,0.0,0,20,== Musical Journey == | === Devotional/Spiritual ===
http://dbpedia.org/class/yago/Music107020895,http://dbpedia.org/resource/Stotra,Stotram,124,38,0.999999999999929,0.0,0,20,== Musical Journey == | === Devotional/Spiritual ===
http://dbpedia.org/class/yago/MusicGenre107071942,http://dbpedia.org/resource/Stotra,Stotram,124,38,0.999999999999929,0.0,0,20,== Musical Journey == | === Devotional/Spiritual ===
http://dbpedia.org/class/yago/MusicalComposition107037465,http://dbpedia.org/resource/Stotra,Stotram,124,38,0.999999999999929,0.0,0,20,== Musical Journey == | === Devotional/Spiritual ===
http://dbpedia.org/class/yago/ReligiousMusic107033007,http://dbpedia.org/resource/Stotra,Stotram,124,38,0.999999999999929,0.0,0,20,== Musical Journey == | === Devotional/Spiritual ===
http://dbpedia.org/class/yago/ReligiousSong107035420,http://dbpedia.org/resource/Stotra,Stotram,124,38,0.999999999999929,0.0,0,20,== Musical Journey == | === Devotional/Spiritual ===
http://dbpedia.org/class/yago/Song107048000,http://dbpedia.org/resource/Stotra,Stotram,124,38,0.999999999999929,0.0,0,20,== Musical Journey == | === Devotional/Spiritual ===
http://dbpedia.org/class/yago/Text106387980,http://dbpedia.org/resource/Stotra,Stotram,124,38,0.999999999999929,0.0,0,20,== Musical Journey == | === Devotional/Spiritual ===
http://dbpedia.org/class/yago/WikicatHinduDevotionalTexts,http://dbpedia.org/resource/Ram_Raksha_Stotra,Ram Raksha Stotra,3,13,1.0,0.0,1,20,== Musical Journey == | === Devotional/Spiritual ===
http://dbpedia.org/class/yago/Writing106362953,http://dbpedia.org/resource/Ram_Raksha_Stotra,Ram Raksha Stotra,3,13,1.0,0.0,1,20,== Musical Journey == | === Devotional/Spiritual ===
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/Ram_Raksha_Stotra,Ram Raksha Stotra,3,13,1.0,0.0,1,20,== Musical Journey == | === Devotional/Spiritual ===
http://dbpedia.org/class/yago/WikicatSanskritTexts,http://dbpedia.org/resource/Ram_Raksha_Stotra,Ram Raksha Stotra,3,13,1.0,0.0,1,20,== Musical Journey == | === Devotional/Spiritual ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Ram_Raksha_Stotra,Ram Raksha Stotra,3,13,1.0,0.0,1,20,== Musical Journey == | === Devotional/Spiritual ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Ram_Raksha_Stotra,Ram Raksha Stotra,3,13,1.0,0.0,1,20,== Musical Journey == | === Devotional/Spiritual ===
http://dbpedia.org/class/yago/Matter106365467,http://dbpedia.org/resource/Ram_Raksha_Stotra,Ram Raksha Stotra,3,13,1.0,0.0,1,20,== Musical Journey == | === Devotional/Spiritual ===
http://dbpedia.org/class/yago/Text106387980,http://dbpedia.org/resource/Ram_Raksha_Stotra,Ram Raksha Stotra,3,13,1.0,0.0,1,20,== Musical Journey == | === Devotional/Spiritual ===
