types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/John_Francis_Bentley,John Bentley,45,47,0.9760469833241754,0.0222098022212574,0,17,== Career == | === Space Cadets ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/John_Francis_Bentley,John Bentley,45,47,0.9760469833241754,0.0222098022212574,0,17,== Career == | === Space Cadets ===
http://dbpedia.org/ontology/Architect,http://dbpedia.org/resource/John_Francis_Bentley,John Bentley,45,47,0.9760469833241754,0.0222098022212574,0,17,== Career == | === Space Cadets ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/John_Francis_Bentley,John Bentley,45,47,0.9760469833241754,0.0222098022212574,0,17,== Career == | === Space Cadets ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/John_Francis_Bentley,John Bentley,45,47,0.9760469833241754,0.0222098022212574,0,17,== Career == | === Space Cadets ===
http://dbpedia.org/class/yago/Architect109805475,http://dbpedia.org/resource/John_Francis_Bentley,John Bentley,45,47,0.9760469833241754,0.0222098022212574,0,17,== Career == | === Space Cadets ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/John_Francis_Bentley,John Bentley,45,47,0.9760469833241754,0.0222098022212574,0,17,== Career == | === Space Cadets ===
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/John_Francis_Bentley,John Bentley,45,47,0.9760469833241754,0.0222098022212574,0,17,== Career == | === Space Cadets ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/John_Francis_Bentley,John Bentley,45,47,0.9760469833241754,0.0222098022212574,0,17,== Career == | === Space Cadets ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/John_Francis_Bentley,John Bentley,45,47,0.9760469833241754,0.0222098022212574,0,17,== Career == | === Space Cadets ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/John_Francis_Bentley,John Bentley,45,47,0.9760469833241754,0.0222098022212574,0,17,== Career == | === Space Cadets ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/John_Francis_Bentley,John Bentley,45,47,0.9760469833241754,0.0222098022212574,0,17,== Career == | === Space Cadets ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/John_Francis_Bentley,John Bentley,45,47,0.9760469833241754,0.0222098022212574,0,17,== Career == | === Space Cadets ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/John_Francis_Bentley,John Bentley,45,47,0.9760469833241754,0.0222098022212574,0,17,== Career == | === Space Cadets ===
http://dbpedia.org/class/yago/WikicatEnglishArchitects,http://dbpedia.org/resource/John_Francis_Bentley,John Bentley,45,47,0.9760469833241754,0.0222098022212574,0,17,== Career == | === Space Cadets ===
http://dbpedia.org/class/yago/WikicatEnglishEcclesiasticalArchitects,http://dbpedia.org/resource/John_Francis_Bentley,John Bentley,45,47,0.9760469833241754,0.0222098022212574,0,17,== Career == | === Space Cadets ===
http://dbpedia.org/class/yago/WikicatPeopleFromDoncaster,http://dbpedia.org/resource/John_Francis_Bentley,John Bentley,45,47,0.9760469833241754,0.0222098022212574,0,17,== Career == | === Space Cadets ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Brighton_City_Airport,Shoreham,132,34,0.5614526793923277,0.7810931702928885,1,21,== Career == | === Mind Your Head ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Brighton_City_Airport,Shoreham,132,34,0.5614526793923277,0.7810931702928885,1,21,== Career == | === Mind Your Head ===
http://dbpedia.org/ontology/AcademicJournal,http://dbpedia.org/resource/Annual_Review_of_Information_Science_and_Technology,ARIST,10,60,0.9101201240357254,0.0,0,27,== Discography (selected) == | === Singles and EPs ===
