types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Precision-guided_munition,precision-guided,420,22,0.999999901734616,0.0,11,7,== Career == | === Destructo ===
http://dbpedia.org/class/yago/WikicatAerialBombs,http://dbpedia.org/resource/Precision-guided_munition,precision-guided,420,22,0.999999901734616,0.0,11,7,== Career == | === Destructo ===
http://dbpedia.org/class/yago/WikicatGuidedBombs,http://dbpedia.org/resource/Precision-guided_munition,precision-guided,420,22,0.999999901734616,0.0,11,7,== Career == | === Destructo ===
http://dbpedia.org/class/yago/WikicatGuidedMissiles,http://dbpedia.org/resource/Precision-guided_munition,precision-guided,420,22,0.999999901734616,0.0,11,7,== Career == | === Destructo ===
http://dbpedia.org/class/yago/WikicatBombs,http://dbpedia.org/resource/Precision-guided_munition,precision-guided,420,22,0.999999901734616,0.0,11,7,== Career == | === Destructo ===
http://dbpedia.org/class/yago/WikicatWeapons,http://dbpedia.org/resource/Precision-guided_munition,precision-guided,420,22,0.999999901734616,0.0,11,7,== Career == | === Destructo ===
http://dbpedia.org/class/yago/WikicatRocketWeapons,http://dbpedia.org/resource/Precision-guided_munition,precision-guided,420,22,0.999999901734616,0.0,11,7,== Career == | === Destructo ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Precision-guided_munition,precision-guided,420,22,0.999999901734616,0.0,11,7,== Career == | === Destructo ===
http://dbpedia.org/class/yago/Bomb102866578,http://dbpedia.org/resource/Precision-guided_munition,precision-guided,420,22,0.999999901734616,0.0,11,7,== Career == | === Destructo ===
http://dbpedia.org/class/yago/Conveyance103100490,http://dbpedia.org/resource/Precision-guided_munition,precision-guided,420,22,0.999999901734616,0.0,11,7,== Career == | === Destructo ===
http://dbpedia.org/class/yago/Device103183080,http://dbpedia.org/resource/Precision-guided_munition,precision-guided,420,22,0.999999901734616,0.0,11,7,== Career == | === Destructo ===
http://dbpedia.org/class/yago/ExplosiveDevice103305522,http://dbpedia.org/resource/Precision-guided_munition,precision-guided,420,22,0.999999901734616,0.0,11,7,== Career == | === Destructo ===
http://dbpedia.org/class/yago/GuidedMissile103466162,http://dbpedia.org/resource/Precision-guided_munition,precision-guided,420,22,0.999999901734616,0.0,11,7,== Career == | === Destructo ===
http://dbpedia.org/class/yago/Instrument103574816,http://dbpedia.org/resource/Precision-guided_munition,precision-guided,420,22,0.999999901734616,0.0,11,7,== Career == | === Destructo ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Precision-guided_munition,precision-guided,420,22,0.999999901734616,0.0,11,7,== Career == | === Destructo ===
http://dbpedia.org/class/yago/Missile103773504,http://dbpedia.org/resource/Precision-guided_munition,precision-guided,420,22,0.999999901734616,0.0,11,7,== Career == | === Destructo ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Precision-guided_munition,precision-guided,420,22,0.999999901734616,0.0,11,7,== Career == | === Destructo ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Precision-guided_munition,precision-guided,420,22,0.999999901734616,0.0,11,7,== Career == | === Destructo ===
http://dbpedia.org/class/yago/Rocket104099429,http://dbpedia.org/resource/Precision-guided_munition,precision-guided,420,22,0.999999901734616,0.0,11,7,== Career == | === Destructo ===
http://dbpedia.org/class/yago/Vehicle104524313,http://dbpedia.org/resource/Precision-guided_munition,precision-guided,420,22,0.999999901734616,0.0,11,7,== Career == | === Destructo ===
http://dbpedia.org/class/yago/Weapon104565375,http://dbpedia.org/resource/Precision-guided_munition,precision-guided,420,22,0.999999901734616,0.0,11,7,== Career == | === Destructo ===
http://dbpedia.org/class/yago/Weaponry104566257,http://dbpedia.org/resource/Precision-guided_munition,precision-guided,420,22,0.999999901734616,0.0,11,7,== Career == | === Destructo ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Precision-guided_munition,precision-guided,420,22,0.999999901734616,0.0,11,7,== Career == | === Destructo ===
