types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Der_Sturm,Der Sturm,223,209,1.0,1.4974989964903025e-21,12,15,== Biography == | === Dadaist promoter ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Der_Sturm,Der Sturm,223,209,1.0,1.4974989964903025e-21,12,15,== Biography == | === Dadaist promoter ===
http://dbpedia.org/class/yago/WikicatArchitectureMagazines,http://dbpedia.org/resource/Der_Sturm,Der Sturm,223,209,1.0,1.4974989964903025e-21,12,15,== Biography == | === Dadaist promoter ===
http://dbpedia.org/class/yago/WikicatArtMagazines,http://dbpedia.org/resource/Der_Sturm,Der Sturm,223,209,1.0,1.4974989964903025e-21,12,15,== Biography == | === Dadaist promoter ===
http://dbpedia.org/class/yago/WikicatPublicationsDisestablishedIn1932,http://dbpedia.org/resource/Der_Sturm,Der Sturm,223,209,1.0,1.4974989964903025e-21,12,15,== Biography == | === Dadaist promoter ===
http://dbpedia.org/class/yago/WikicatCulturalMagazines,http://dbpedia.org/resource/Der_Sturm,Der Sturm,223,209,1.0,1.4974989964903025e-21,12,15,== Biography == | === Dadaist promoter ===
http://dbpedia.org/class/yago/Work104599396,http://dbpedia.org/resource/Der_Sturm,Der Sturm,223,209,1.0,1.4974989964903025e-21,12,15,== Biography == | === Dadaist promoter ===
http://dbpedia.org/class/yago/WikicatLiteraryMagazines,http://dbpedia.org/resource/Der_Sturm,Der Sturm,223,209,1.0,1.4974989964903025e-21,12,15,== Biography == | === Dadaist promoter ===
http://dbpedia.org/class/yago/WikicatPublicationsEstablishedIn1910,http://dbpedia.org/resource/Der_Sturm,Der Sturm,223,209,1.0,1.4974989964903025e-21,12,15,== Biography == | === Dadaist promoter ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Der_Sturm,Der Sturm,223,209,1.0,1.4974989964903025e-21,12,15,== Biography == | === Dadaist promoter ===
http://dbpedia.org/class/yago/Creation103129123,http://dbpedia.org/resource/Der_Sturm,Der Sturm,223,209,1.0,1.4974989964903025e-21,12,15,== Biography == | === Dadaist promoter ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Der_Sturm,Der Sturm,223,209,1.0,1.4974989964903025e-21,12,15,== Biography == | === Dadaist promoter ===
http://dbpedia.org/class/yago/Magazine106595351,http://dbpedia.org/resource/Der_Sturm,Der Sturm,223,209,1.0,1.4974989964903025e-21,12,15,== Biography == | === Dadaist promoter ===
http://dbpedia.org/class/yago/Medium106254669,http://dbpedia.org/resource/Der_Sturm,Der Sturm,223,209,1.0,1.4974989964903025e-21,12,15,== Biography == | === Dadaist promoter ===
http://dbpedia.org/class/yago/Newspaper106267145,http://dbpedia.org/resource/Der_Sturm,Der Sturm,223,209,1.0,1.4974989964903025e-21,12,15,== Biography == | === Dadaist promoter ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Der_Sturm,Der Sturm,223,209,1.0,1.4974989964903025e-21,12,15,== Biography == | === Dadaist promoter ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Der_Sturm,Der Sturm,223,209,1.0,1.4974989964903025e-21,12,15,== Biography == | === Dadaist promoter ===
http://dbpedia.org/class/yago/Press106263369,http://dbpedia.org/resource/Der_Sturm,Der Sturm,223,209,1.0,1.4974989964903025e-21,12,15,== Biography == | === Dadaist promoter ===
http://dbpedia.org/class/yago/PrintMedia106263609,http://dbpedia.org/resource/Der_Sturm,Der Sturm,223,209,1.0,1.4974989964903025e-21,12,15,== Biography == | === Dadaist promoter ===
http://dbpedia.org/class/yago/Product104007894,http://dbpedia.org/resource/Der_Sturm,Der Sturm,223,209,1.0,1.4974989964903025e-21,12,15,== Biography == | === Dadaist promoter ===
http://dbpedia.org/class/yago/Publication106589574,http://dbpedia.org/resource/Der_Sturm,Der Sturm,223,209,1.0,1.4974989964903025e-21,12,15,== Biography == | === Dadaist promoter ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Der_Sturm,Der Sturm,223,209,1.0,1.4974989964903025e-21,12,15,== Biography == | === Dadaist promoter ===
http://dbpedia.org/class/yago/WikicatGerman-languageMagazines,http://dbpedia.org/resource/Der_Sturm,Der Sturm,223,209,1.0,1.4974989964903025e-21,12,15,== Biography == | === Dadaist promoter ===
http://dbpedia.org/class/yago/WikicatGermanLiteraryMagazines,http://dbpedia.org/resource/Der_Sturm,Der Sturm,223,209,1.0,1.4974989964903025e-21,12,15,== Biography == | === Dadaist promoter ===
http://dbpedia.org/class/yago/WikicatGermanMagazines,http://dbpedia.org/resource/Der_Sturm,Der Sturm,223,209,1.0,1.4974989964903025e-21,12,15,== Biography == | === Dadaist promoter ===
