types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Confidence_trick,scam artist,2558,12,1.0,0.0,1,10,== Biography == | === Later career ===
http://dbpedia.org/ontology/MilitaryConflict,http://dbpedia.org/resource/Confidence_trick,scam artist,2558,12,1.0,0.0,1,10,== Biography == | === Later career ===
http://dbpedia.org/ontology/PersonFunction,http://dbpedia.org/resource/Confidence_trick,scam artist,2558,12,1.0,0.0,1,10,== Biography == | === Later career ===
