types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Illegal_drug_trade,narcotics trafficking,3795,106,1.0,0.0,7,13,== Career == | === Political career ===
http://dbpedia.org/ontology/Place,http://dbpedia.org/resource/Illegal_drug_trade,narcotics trafficking,3795,106,1.0,0.0,7,13,== Career == | === Political career ===
http://dbpedia.org/ontology/MilitaryConflict,http://dbpedia.org/resource/Illegal_drug_trade,narcotics trafficking,3795,106,1.0,0.0,7,13,== Career == | === Political career ===
