types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Container_garden,potted plant,93,105,1.0,0.0,8,10,== Early career == | === Fallen Angels ===
http://dbpedia.org/ontology/Company,http://dbpedia.org/resource/Container_garden,potted plant,93,105,1.0,0.0,8,10,== Early career == | === Fallen Angels ===
http://dbpedia.org/class/yago/WikicatHorticulturalTechniques,http://dbpedia.org/resource/Container_garden,potted plant,93,105,1.0,0.0,8,10,== Early career == | === Fallen Angels ===
http://dbpedia.org/class/yago/Ability105616246,http://dbpedia.org/resource/Container_garden,potted plant,93,105,1.0,0.0,8,10,== Early career == | === Fallen Angels ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Container_garden,potted plant,93,105,1.0,0.0,8,10,== Early career == | === Fallen Angels ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Container_garden,potted plant,93,105,1.0,0.0,8,10,== Early career == | === Fallen Angels ===
http://dbpedia.org/class/yago/Concept105835747,http://dbpedia.org/resource/Container_garden,potted plant,93,105,1.0,0.0,8,10,== Early career == | === Fallen Angels ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Container_garden,potted plant,93,105,1.0,0.0,8,10,== Early career == | === Fallen Angels ===
http://dbpedia.org/class/yago/Feature105849789,http://dbpedia.org/resource/Container_garden,potted plant,93,105,1.0,0.0,8,10,== Early career == | === Fallen Angels ===
http://dbpedia.org/class/yago/Idea105833840,http://dbpedia.org/resource/Container_garden,potted plant,93,105,1.0,0.0,8,10,== Early career == | === Fallen Angels ===
http://dbpedia.org/class/yago/Know-how105616786,http://dbpedia.org/resource/Container_garden,potted plant,93,105,1.0,0.0,8,10,== Early career == | === Fallen Angels ===
http://dbpedia.org/class/yago/Method105660268,http://dbpedia.org/resource/Container_garden,potted plant,93,105,1.0,0.0,8,10,== Early career == | === Fallen Angels ===
http://dbpedia.org/class/yago/Property105849040,http://dbpedia.org/resource/Container_garden,potted plant,93,105,1.0,0.0,8,10,== Early career == | === Fallen Angels ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Container_garden,potted plant,93,105,1.0,0.0,8,10,== Early career == | === Fallen Angels ===
http://dbpedia.org/class/yago/Technique105665146,http://dbpedia.org/resource/Container_garden,potted plant,93,105,1.0,0.0,8,10,== Early career == | === Fallen Angels ===
http://dbpedia.org/class/yago/WikicatGardenFeatures,http://dbpedia.org/resource/Container_garden,potted plant,93,105,1.0,0.0,8,10,== Early career == | === Fallen Angels ===
