types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatHurlingClubsInCountyClare,http://dbpedia.org/resource/Ruan_GAA,Ruan,23,33,0.9871419578354788,0.0125140865578503,9,4,== Career == | === Early years ===
http://dbpedia.org/ontology/SoccerClub,http://dbpedia.org/resource/Ruan_GAA,Ruan,23,33,0.9871419578354788,0.0125140865578503,9,4,== Career == | === Early years ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Ruan_GAA,Ruan,23,33,0.9871419578354788,0.0125140865578503,9,4,== Career == | === Early years ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Ruan_GAA,Ruan,23,33,0.9871419578354788,0.0125140865578503,9,4,== Career == | === Early years ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Ruan_GAA,Ruan,23,33,0.9871419578354788,0.0125140865578503,9,4,== Career == | === Early years ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Ruan_GAA,Ruan,23,33,0.9871419578354788,0.0125140865578503,9,4,== Career == | === Early years ===
http://dbpedia.org/class/yago/Association108049401,http://dbpedia.org/resource/Ruan_GAA,Ruan,23,33,0.9871419578354788,0.0125140865578503,9,4,== Career == | === Early years ===
http://dbpedia.org/class/yago/Club108227214,http://dbpedia.org/resource/Ruan_GAA,Ruan,23,33,0.9871419578354788,0.0125140865578503,9,4,== Career == | === Early years ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Ruan_GAA,Ruan,23,33,0.9871419578354788,0.0125140865578503,9,4,== Career == | === Early years ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Ruan_GAA,Ruan,23,33,0.9871419578354788,0.0125140865578503,9,4,== Career == | === Early years ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Ruan_GAA,Ruan,23,33,0.9871419578354788,0.0125140865578503,9,4,== Career == | === Early years ===
http://dbpedia.org/class/yago/WikicatGaelicAthleticAssociationClubsInCountyClare,http://dbpedia.org/resource/Ruan_GAA,Ruan,23,33,0.9871419578354788,0.0125140865578503,9,4,== Career == | === Early years ===
