types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Lali_(drum),lali,19,12,0.950591240075544,0.0,0,10,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/WikicatDrums,http://dbpedia.org/resource/Lali_(drum),lali,19,12,0.950591240075544,0.0,0,10,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Lali_(drum),lali,19,12,0.950591240075544,0.0,0,10,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/Device103183080,http://dbpedia.org/resource/Lali_(drum),lali,19,12,0.950591240075544,0.0,0,10,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/Drum103249569,http://dbpedia.org/resource/Lali_(drum),lali,19,12,0.950591240075544,0.0,0,10,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Lali_(drum),lali,19,12,0.950591240075544,0.0,0,10,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/MusicalInstrument103800933,http://dbpedia.org/resource/Lali_(drum),lali,19,12,0.950591240075544,0.0,0,10,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Lali_(drum),lali,19,12,0.950591240075544,0.0,0,10,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/PercussionInstrument103915437,http://dbpedia.org/resource/Lali_(drum),lali,19,12,0.950591240075544,0.0,0,10,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Lali_(drum),lali,19,12,0.950591240075544,0.0,0,10,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Lali_(drum),lali,19,12,0.950591240075544,0.0,0,10,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/WikicatFijianMusicalInstruments,http://dbpedia.org/resource/Lali_(drum),lali,19,12,0.950591240075544,0.0,0,10,== Discography == | === Studio albums ===
