types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Book,http://dbpedia.org/resource/Cocksure,cocksure,10,149,0.9101201240357512,0.0,4,15,== Career == | === Artistry ===
http://dbpedia.org/class/yago/Writing106362953,http://dbpedia.org/resource/Cocksure,cocksure,10,149,0.9101201240357512,0.0,4,15,== Career == | === Artistry ===
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/Cocksure,cocksure,10,149,0.9101201240357512,0.0,4,15,== Career == | === Artistry ===
http://dbpedia.org/class/yago/WikicatSatiricalNovels,http://dbpedia.org/resource/Cocksure,cocksure,10,149,0.9101201240357512,0.0,4,15,== Career == | === Artistry ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Cocksure,cocksure,10,149,0.9101201240357512,0.0,4,15,== Career == | === Artistry ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Cocksure,cocksure,10,149,0.9101201240357512,0.0,4,15,== Career == | === Artistry ===
http://dbpedia.org/class/yago/Fiction106367107,http://dbpedia.org/resource/Cocksure,cocksure,10,149,0.9101201240357512,0.0,4,15,== Career == | === Artistry ===
http://dbpedia.org/class/yago/LiteraryComposition106364329,http://dbpedia.org/resource/Cocksure,cocksure,10,149,0.9101201240357512,0.0,4,15,== Career == | === Artistry ===
http://dbpedia.org/class/yago/Novel106367879,http://dbpedia.org/resource/Cocksure,cocksure,10,149,0.9101201240357512,0.0,4,15,== Career == | === Artistry ===
http://dbpedia.org/class/yago/Wikicat1968Novels,http://dbpedia.org/resource/Cocksure,cocksure,10,149,0.9101201240357512,0.0,4,15,== Career == | === Artistry ===
http://dbpedia.org/class/yago/WikicatNovelsByMordecaiRichler,http://dbpedia.org/resource/Cocksure,cocksure,10,149,0.9101201240357512,0.0,4,15,== Career == | === Artistry ===
