types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Cinema_of_Malaysia,Malaysian,64,215,0.999970320788108,2.8365249596644263e-05,10,10,== Career == | === 2003–2005 ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Cinema_of_Malaysia,Malaysian,64,215,0.999970320788108,2.8365249596644263e-05,10,10,== Career == | === 2003–2005 ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Cinema_of_Malaysia,Malaysian,64,215,0.999970320788108,2.8365249596644263e-05,10,10,== Career == | === 2003–2005 ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Cinema_of_Malaysia,Malaysian,64,215,0.999970320788108,2.8365249596644263e-05,10,10,== Career == | === 2003–2005 ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Cinema_of_Malaysia,Malaysian,64,215,0.999970320788108,2.8365249596644263e-05,10,10,== Career == | === 2003–2005 ===
http://dbpedia.org/class/yago/Market101097292,http://dbpedia.org/resource/Cinema_of_Malaysia,Malaysian,64,215,0.999970320788108,2.8365249596644263e-05,10,10,== Career == | === 2003–2005 ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Cinema_of_Malaysia,Malaysian,64,215,0.999970320788108,2.8365249596644263e-05,10,10,== Career == | === 2003–2005 ===
http://dbpedia.org/ontology/Company,http://dbpedia.org/resource/On-Media,On-Media,20,116,1.0,0.0,3,13,== Career == | === 2006–present ===
http://dbpedia.org/class/yago/WikicatBroadcastingCompaniesOfSouthKorea,http://dbpedia.org/resource/On-Media,On-Media,20,116,1.0,0.0,3,13,== Career == | === 2006–present ===
http://dbpedia.org/class/yago/WikicatCompaniesEstablishedIn2000,http://dbpedia.org/resource/On-Media,On-Media,20,116,1.0,0.0,3,13,== Career == | === 2006–present ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/On-Media,On-Media,20,116,1.0,0.0,3,13,== Career == | === 2006–present ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/On-Media,On-Media,20,116,1.0,0.0,3,13,== Career == | === 2006–present ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/On-Media,On-Media,20,116,1.0,0.0,3,13,== Career == | === 2006–present ===
http://dbpedia.org/class/yago/WikicatMediaInSeongnam,http://dbpedia.org/resource/On-Media,On-Media,20,116,1.0,0.0,3,13,== Career == | === 2006–present ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/On-Media,On-Media,20,116,1.0,0.0,3,13,== Career == | === 2006–present ===
http://dbpedia.org/class/yago/BroadcastingCompany108002015,http://dbpedia.org/resource/On-Media,On-Media,20,116,1.0,0.0,3,13,== Career == | === 2006–present ===
http://dbpedia.org/class/yago/Company108058098,http://dbpedia.org/resource/On-Media,On-Media,20,116,1.0,0.0,3,13,== Career == | === 2006–present ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/On-Media,On-Media,20,116,1.0,0.0,3,13,== Career == | === 2006–present ===
http://dbpedia.org/class/yago/Institution108053576,http://dbpedia.org/resource/On-Media,On-Media,20,116,1.0,0.0,3,13,== Career == | === 2006–present ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/On-Media,On-Media,20,116,1.0,0.0,3,13,== Career == | === 2006–present ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/On-Media,On-Media,20,116,1.0,0.0,3,13,== Career == | === 2006–present ===
http://dbpedia.org/class/yago/SubsidiaryCompany108003935,http://dbpedia.org/resource/On-Media,On-Media,20,116,1.0,0.0,3,13,== Career == | === 2006–present ===
http://dbpedia.org/class/yago/WikicatOrionGroupSubsidiaries,http://dbpedia.org/resource/On-Media,On-Media,20,116,1.0,0.0,3,13,== Career == | === 2006–present ===
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/Square_yard,sq yd,30,83,0.9999999999973852,0.0,1,21,== Personal life == | === Welfare and politics ===
