types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatHighFashionBrands,http://dbpedia.org/resource/Stylenite,Michalsky Stylenite,18,53,1.0,0.0,1,9,== Career == | === Hurts (2009–present) ===
http://dbpedia.org/ontology/SportsEvent,http://dbpedia.org/resource/Stylenite,Michalsky Stylenite,18,53,1.0,0.0,1,9,== Career == | === Hurts (2009–present) ===
http://dbpedia.org/class/yago/WikicatCulturalEvents,http://dbpedia.org/resource/Stylenite,Michalsky Stylenite,18,53,1.0,0.0,1,9,== Career == | === Hurts (2009–present) ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Stylenite,Michalsky Stylenite,18,53,1.0,0.0,1,9,== Career == | === Hurts (2009–present) ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Stylenite,Michalsky Stylenite,18,53,1.0,0.0,1,9,== Career == | === Hurts (2009–present) ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Stylenite,Michalsky Stylenite,18,53,1.0,0.0,1,9,== Career == | === Hurts (2009–present) ===
http://dbpedia.org/class/yago/LanguageUnit106284225,http://dbpedia.org/resource/Stylenite,Michalsky Stylenite,18,53,1.0,0.0,1,9,== Career == | === Hurts (2009–present) ===
http://dbpedia.org/class/yago/Name106333653,http://dbpedia.org/resource/Stylenite,Michalsky Stylenite,18,53,1.0,0.0,1,9,== Career == | === Hurts (2009–present) ===
http://dbpedia.org/class/yago/Part113809207,http://dbpedia.org/resource/Stylenite,Michalsky Stylenite,18,53,1.0,0.0,1,9,== Career == | === Hurts (2009–present) ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Stylenite,Michalsky Stylenite,18,53,1.0,0.0,1,9,== Career == | === Hurts (2009–present) ===
http://dbpedia.org/class/yago/Relation100031921,http://dbpedia.org/resource/Stylenite,Michalsky Stylenite,18,53,1.0,0.0,1,9,== Career == | === Hurts (2009–present) ===
http://dbpedia.org/class/yago/TradeName106845599,http://dbpedia.org/resource/Stylenite,Michalsky Stylenite,18,53,1.0,0.0,1,9,== Career == | === Hurts (2009–present) ===
http://dbpedia.org/class/yago/WikicatEventsInBerlin,http://dbpedia.org/resource/Stylenite,Michalsky Stylenite,18,53,1.0,0.0,1,9,== Career == | === Hurts (2009–present) ===
http://dbpedia.org/class/yago/WikicatFashionEvents,http://dbpedia.org/resource/Stylenite,Michalsky Stylenite,18,53,1.0,0.0,1,9,== Career == | === Hurts (2009–present) ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Tom_Grennan,Tom Grennan,60,34,1.0,0.0,0,20,== Discography == | === Songwriting credits ===
