types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Software,http://dbpedia.org/resource/Movie_packaging,packaging,56,36,0.97916003289021,0.0212254853141709,3,6,== Career == | === Creative Artists Agency ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Employee_stock_option,stock options,112,44,0.9999999600926808,3.9907328655896654e-08,4,8,== Career == | === Disney ===
http://dbpedia.org/class/yago/Writing106362953,http://dbpedia.org/resource/Employee_stock_option,stock options,112,44,0.9999999600926808,3.9907328655896654e-08,4,8,== Career == | === Disney ===
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/Employee_stock_option,stock options,112,44,0.9999999600926808,3.9907328655896654e-08,4,8,== Career == | === Disney ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Employee_stock_option,stock options,112,44,0.9999999600926808,3.9907328655896654e-08,4,8,== Career == | === Disney ===
http://dbpedia.org/class/yago/Attribute100024264,http://dbpedia.org/resource/Employee_stock_option,stock options,112,44,0.9999999600926808,3.9907328655896654e-08,4,8,== Career == | === Disney ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Employee_stock_option,stock options,112,44,0.9999999600926808,3.9907328655896654e-08,4,8,== Career == | === Disney ===
http://dbpedia.org/class/yago/Condition113920835,http://dbpedia.org/resource/Employee_stock_option,stock options,112,44,0.9999999600926808,3.9907328655896654e-08,4,8,== Career == | === Disney ===
http://dbpedia.org/class/yago/DerivativeInstrument106480506,http://dbpedia.org/resource/Employee_stock_option,stock options,112,44,0.9999999600926808,3.9907328655896654e-08,4,8,== Career == | === Disney ===
http://dbpedia.org/class/yago/Document106470073,http://dbpedia.org/resource/Employee_stock_option,stock options,112,44,0.9999999600926808,3.9907328655896654e-08,4,8,== Career == | === Disney ===
http://dbpedia.org/class/yago/LegalDocument106479665,http://dbpedia.org/resource/Employee_stock_option,stock options,112,44,0.9999999600926808,3.9907328655896654e-08,4,8,== Career == | === Disney ===
http://dbpedia.org/class/yago/Option113241600,http://dbpedia.org/resource/Employee_stock_option,stock options,112,44,0.9999999600926808,3.9907328655896654e-08,4,8,== Career == | === Disney ===
http://dbpedia.org/class/yago/Safety114538472,http://dbpedia.org/resource/Employee_stock_option,stock options,112,44,0.9999999600926808,3.9907328655896654e-08,4,8,== Career == | === Disney ===
http://dbpedia.org/class/yago/Security114539268,http://dbpedia.org/resource/Employee_stock_option,stock options,112,44,0.9999999600926808,3.9907328655896654e-08,4,8,== Career == | === Disney ===
http://dbpedia.org/class/yago/State100024720,http://dbpedia.org/resource/Employee_stock_option,stock options,112,44,0.9999999600926808,3.9907328655896654e-08,4,8,== Career == | === Disney ===
http://dbpedia.org/class/yago/WikicatEquitySecurities,http://dbpedia.org/resource/Employee_stock_option,stock options,112,44,0.9999999600926808,3.9907328655896654e-08,4,8,== Career == | === Disney ===
http://dbpedia.org/class/yago/WikicatOptions,http://dbpedia.org/resource/Employee_stock_option,stock options,112,44,0.9999999600926808,3.9907328655896654e-08,4,8,== Career == | === Disney ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Richard_Lovett_(writer),Richard Lovett,9,176,0.9999732550923496,0.0,3,10,== Career == | === Artist Management Group and controversy ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Richard_Lovett_(writer),Richard Lovett,9,176,0.9999732550923496,0.0,3,10,== Career == | === Artist Management Group and controversy ===
http://dbpedia.org/class/yago/Writer110794014,http://dbpedia.org/resource/Richard_Lovett_(writer),Richard Lovett,9,176,0.9999732550923496,0.0,3,10,== Career == | === Artist Management Group and controversy ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Richard_Lovett_(writer),Richard Lovett,9,176,0.9999732550923496,0.0,3,10,== Career == | === Artist Management Group and controversy ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Richard_Lovett_(writer),Richard Lovett,9,176,0.9999732550923496,0.0,3,10,== Career == | === Artist Management Group and controversy ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Richard_Lovett_(writer),Richard Lovett,9,176,0.9999732550923496,0.0,3,10,== Career == | === Artist Management Group and controversy ===
http://dbpedia.org/class/yago/Communicator109610660,http://dbpedia.org/resource/Richard_Lovett_(writer),Richard Lovett,9,176,0.9999732550923496,0.0,3,10,== Career == | === Artist Management Group and controversy ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Richard_Lovett_(writer),Richard Lovett,9,176,0.9999732550923496,0.0,3,10,== Career == | === Artist Management Group and controversy ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Richard_Lovett_(writer),Richard Lovett,9,176,0.9999732550923496,0.0,3,10,== Career == | === Artist Management Group and controversy ===
