types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Band,http://dbpedia.org/resource/New_Apocalyptics,New Apocalyptics,27,96,1.0,0.0,29,10,== Life and career == | === 1933–1939 ===
http://dbpedia.org/class/yago/WikicatBritishLiteraryMovements,http://dbpedia.org/resource/New_Apocalyptics,New Apocalyptics,27,96,1.0,0.0,29,10,== Life and career == | === 1933–1939 ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/New_Apocalyptics,New Apocalyptics,27,96,1.0,0.0,29,10,== Life and career == | === 1933–1939 ===
http://dbpedia.org/class/yago/WikicatLiteraryMovements,http://dbpedia.org/resource/New_Apocalyptics,New Apocalyptics,27,96,1.0,0.0,29,10,== Life and career == | === 1933–1939 ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/New_Apocalyptics,New Apocalyptics,27,96,1.0,0.0,29,10,== Life and career == | === 1933–1939 ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/New_Apocalyptics,New Apocalyptics,27,96,1.0,0.0,29,10,== Life and career == | === 1933–1939 ===
http://dbpedia.org/class/yago/Action100037396,http://dbpedia.org/resource/New_Apocalyptics,New Apocalyptics,27,96,1.0,0.0,29,10,== Life and career == | === 1933–1939 ===
http://dbpedia.org/class/yago/Change100191142,http://dbpedia.org/resource/New_Apocalyptics,New Apocalyptics,27,96,1.0,0.0,29,10,== Life and career == | === 1933–1939 ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/New_Apocalyptics,New Apocalyptics,27,96,1.0,0.0,29,10,== Life and career == | === 1933–1939 ===
http://dbpedia.org/class/yago/Motion100331950,http://dbpedia.org/resource/New_Apocalyptics,New Apocalyptics,27,96,1.0,0.0,29,10,== Life and career == | === 1933–1939 ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/New_Apocalyptics,New Apocalyptics,27,96,1.0,0.0,29,10,== Life and career == | === 1933–1939 ===
