types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Calendar_of_saints,liturgical calendar,3810,46,0.4085916790163531,0.8061585149952248,8,20,== Biography == | === Later years ===
http://dbpedia.org/ontology/Software,http://dbpedia.org/resource/Calendar_of_saints,liturgical calendar,3810,46,0.4085916790163531,0.8061585149952248,8,20,== Biography == | === Later years ===
http://dbpedia.org/class/yago/WikicatHolidays,http://dbpedia.org/resource/Calendar_of_saints,liturgical calendar,3810,46,0.4085916790163531,0.8061585149952248,8,20,== Biography == | === Later years ===
http://dbpedia.org/class/yago/WikicatCalendars,http://dbpedia.org/resource/Calendar_of_saints,liturgical calendar,3810,46,0.4085916790163531,0.8061585149952248,8,20,== Biography == | === Later years ===
http://dbpedia.org/class/yago/WikicatChristianFestivalsAndHolyDays,http://dbpedia.org/resource/Calendar_of_saints,liturgical calendar,3810,46,0.4085916790163531,0.8061585149952248,8,20,== Biography == | === Later years ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Calendar_of_saints,liturgical calendar,3810,46,0.4085916790163531,0.8061585149952248,8,20,== Biography == | === Later years ===
http://dbpedia.org/class/yago/WikicatSaintsDays,http://dbpedia.org/resource/Calendar_of_saints,liturgical calendar,3810,46,0.4085916790163531,0.8061585149952248,8,20,== Biography == | === Later years ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Calendar_of_saints,liturgical calendar,3810,46,0.4085916790163531,0.8061585149952248,8,20,== Biography == | === Later years ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Calendar_of_saints,liturgical calendar,3810,46,0.4085916790163531,0.8061585149952248,8,20,== Biography == | === Later years ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Calendar_of_saints,liturgical calendar,3810,46,0.4085916790163531,0.8061585149952248,8,20,== Biography == | === Later years ===
http://dbpedia.org/class/yago/Arrangement105726596,http://dbpedia.org/resource/Calendar_of_saints,liturgical calendar,3810,46,0.4085916790163531,0.8061585149952248,8,20,== Biography == | === Later years ===
http://dbpedia.org/class/yago/Calendar115173479,http://dbpedia.org/resource/Calendar_of_saints,liturgical calendar,3810,46,0.4085916790163531,0.8061585149952248,8,20,== Biography == | === Later years ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Calendar_of_saints,liturgical calendar,3810,46,0.4085916790163531,0.8061585149952248,8,20,== Biography == | === Later years ===
http://dbpedia.org/class/yago/Day115155220,http://dbpedia.org/resource/Calendar_of_saints,liturgical calendar,3810,46,0.4085916790163531,0.8061585149952248,8,20,== Biography == | === Later years ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Calendar_of_saints,liturgical calendar,3810,46,0.4085916790163531,0.8061585149952248,8,20,== Biography == | === Later years ===
http://dbpedia.org/class/yago/Festival115162388,http://dbpedia.org/resource/Calendar_of_saints,liturgical calendar,3810,46,0.4085916790163531,0.8061585149952248,8,20,== Biography == | === Later years ===
http://dbpedia.org/class/yago/FundamentalQuantity113575869,http://dbpedia.org/resource/Calendar_of_saints,liturgical calendar,3810,46,0.4085916790163531,0.8061585149952248,8,20,== Biography == | === Later years ===
http://dbpedia.org/class/yago/Leisure115137676,http://dbpedia.org/resource/Calendar_of_saints,liturgical calendar,3810,46,0.4085916790163531,0.8061585149952248,8,20,== Biography == | === Later years ===
http://dbpedia.org/class/yago/Look100877127,http://dbpedia.org/resource/Calendar_of_saints,liturgical calendar,3810,46,0.4085916790163531,0.8061585149952248,8,20,== Biography == | === Later years ===
http://dbpedia.org/class/yago/Measure100033615,http://dbpedia.org/resource/Calendar_of_saints,liturgical calendar,3810,46,0.4085916790163531,0.8061585149952248,8,20,== Biography == | === Later years ===
