types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Election,http://dbpedia.org/resource/Silvering,Silvering,68,0,0.9997046331019084,0.0,1,10,== Discography == | === As leader ===
http://dbpedia.org/class/yago/WikicatCoatings,http://dbpedia.org/resource/Silvering,Silvering,68,0,0.9997046331019084,0.0,1,10,== Discography == | === As leader ===
http://dbpedia.org/class/yago/WikicatMirrors,http://dbpedia.org/resource/Silvering,Silvering,68,0,0.9997046331019084,0.0,1,10,== Discography == | === As leader ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Silvering,Silvering,68,0,0.9997046331019084,0.0,1,10,== Discography == | === As leader ===
http://dbpedia.org/class/yago/Coating103058107,http://dbpedia.org/resource/Silvering,Silvering,68,0,0.9997046331019084,0.0,1,10,== Discography == | === As leader ===
http://dbpedia.org/class/yago/Covering103122748,http://dbpedia.org/resource/Silvering,Silvering,68,0,0.9997046331019084,0.0,1,10,== Discography == | === As leader ===
http://dbpedia.org/class/yago/Device103183080,http://dbpedia.org/resource/Silvering,Silvering,68,0,0.9997046331019084,0.0,1,10,== Discography == | === As leader ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Silvering,Silvering,68,0,0.9997046331019084,0.0,1,10,== Discography == | === As leader ===
http://dbpedia.org/class/yago/Mirror103773035,http://dbpedia.org/resource/Silvering,Silvering,68,0,0.9997046331019084,0.0,1,10,== Discography == | === As leader ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Silvering,Silvering,68,0,0.9997046331019084,0.0,1,10,== Discography == | === As leader ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Silvering,Silvering,68,0,0.9997046331019084,0.0,1,10,== Discography == | === As leader ===
http://dbpedia.org/class/yago/Reflector104069276,http://dbpedia.org/resource/Silvering,Silvering,68,0,0.9997046331019084,0.0,1,10,== Discography == | === As leader ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Silvering,Silvering,68,0,0.9997046331019084,0.0,1,10,== Discography == | === As leader ===
