types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Work,http://dbpedia.org/resource/Jinsei_Game,Jinsei Game,11,0,0.9999999999998296,0.0,0,46,== List of provided works == | === Compositions ===
http://dbpedia.org/class/yago/WikicatJapaneseGames,http://dbpedia.org/resource/Jinsei_Game,Jinsei Game,11,0,0.9999999999998296,0.0,0,46,== List of provided works == | === Compositions ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Jinsei_Game,Jinsei Game,11,0,0.9999999999998296,0.0,0,46,== List of provided works == | === Compositions ===
http://dbpedia.org/class/yago/WikicatRoll-and-moveBoardGames,http://dbpedia.org/resource/Jinsei_Game,Jinsei Game,11,0,0.9999999999998296,0.0,0,46,== List of provided works == | === Compositions ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Jinsei_Game,Jinsei Game,11,0,0.9999999999998296,0.0,0,46,== List of provided works == | === Compositions ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Jinsei_Game,Jinsei Game,11,0,0.9999999999998296,0.0,0,46,== List of provided works == | === Compositions ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Jinsei_Game,Jinsei Game,11,0,0.9999999999998296,0.0,0,46,== List of provided works == | === Compositions ===
http://dbpedia.org/class/yago/BoardGame100502415,http://dbpedia.org/resource/Jinsei_Game,Jinsei Game,11,0,0.9999999999998296,0.0,0,46,== List of provided works == | === Compositions ===
http://dbpedia.org/class/yago/Contest107456188,http://dbpedia.org/resource/Jinsei_Game,Jinsei Game,11,0,0.9999999999998296,0.0,0,46,== List of provided works == | === Compositions ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Jinsei_Game,Jinsei Game,11,0,0.9999999999998296,0.0,0,46,== List of provided works == | === Compositions ===
http://dbpedia.org/class/yago/Game100455599,http://dbpedia.org/resource/Jinsei_Game,Jinsei Game,11,0,0.9999999999998296,0.0,0,46,== List of provided works == | === Compositions ===
http://dbpedia.org/class/yago/Game100456199,http://dbpedia.org/resource/Jinsei_Game,Jinsei Game,11,0,0.9999999999998296,0.0,0,46,== List of provided works == | === Compositions ===
http://dbpedia.org/class/yago/ParlorGame100501722,http://dbpedia.org/resource/Jinsei_Game,Jinsei Game,11,0,0.9999999999998296,0.0,0,46,== List of provided works == | === Compositions ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Jinsei_Game,Jinsei Game,11,0,0.9999999999998296,0.0,0,46,== List of provided works == | === Compositions ===
http://dbpedia.org/class/yago/SocialEvent107288639,http://dbpedia.org/resource/Jinsei_Game,Jinsei Game,11,0,0.9999999999998296,0.0,0,46,== List of provided works == | === Compositions ===
