types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Wetsuit,wet suits,379,70,1.0,0.0,10,27,== Recording career == | === Side projects ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Wetsuit,wet suits,379,70,1.0,0.0,10,27,== Recording career == | === Side projects ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Wetsuit,wet suits,379,70,1.0,0.0,10,27,== Recording career == | === Side projects ===
http://dbpedia.org/class/yago/Clothing103051540,http://dbpedia.org/resource/Wetsuit,wet suits,379,70,1.0,0.0,10,27,== Recording career == | === Side projects ===
http://dbpedia.org/class/yago/Commodity103076708,http://dbpedia.org/resource/Wetsuit,wet suits,379,70,1.0,0.0,10,27,== Recording career == | === Side projects ===
http://dbpedia.org/class/yago/ConsumerGoods103093574,http://dbpedia.org/resource/Wetsuit,wet suits,379,70,1.0,0.0,10,27,== Recording career == | === Side projects ===
http://dbpedia.org/class/yago/Covering103122748,http://dbpedia.org/resource/Wetsuit,wet suits,379,70,1.0,0.0,10,27,== Recording career == | === Side projects ===
http://dbpedia.org/class/yago/Garment103419014,http://dbpedia.org/resource/Wetsuit,wet suits,379,70,1.0,0.0,10,27,== Recording career == | === Side projects ===
http://dbpedia.org/ontology/Fashion,http://dbpedia.org/resource/Wetsuit,wet suits,379,70,1.0,0.0,10,27,== Recording career == | === Side projects ===
http://dbpedia.org/class/yago/WikicatOne-pieceSuits,http://dbpedia.org/resource/Wetsuit,wet suits,379,70,1.0,0.0,10,27,== Recording career == | === Side projects ===
http://dbpedia.org/class/yago/Suit104350905,http://dbpedia.org/resource/Wetsuit,wet suits,379,70,1.0,0.0,10,27,== Recording career == | === Side projects ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Wetsuit,wet suits,379,70,1.0,0.0,10,27,== Recording career == | === Side projects ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Wetsuit,wet suits,379,70,1.0,0.0,10,27,== Recording career == | === Side projects ===
http://dbpedia.org/class/yago/WikicatEnvironmentalSuits,http://dbpedia.org/resource/Wetsuit,wet suits,379,70,1.0,0.0,10,27,== Recording career == | === Side projects ===
