types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/TelevisionEpisode,http://dbpedia.org/resource/Whiskey_Business,whiskey business,9,76,0.9999997705582736,2.294387567778981e-07,15,8,== Biography == | === Blues performer ===
http://dbpedia.org/class/yago/Writing106362953,http://dbpedia.org/resource/Whiskey_Business,whiskey business,9,76,0.9999997705582736,2.294387567778981e-07,15,8,== Biography == | === Blues performer ===
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/Whiskey_Business,whiskey business,9,76,0.9999997705582736,2.294387567778981e-07,15,8,== Biography == | === Blues performer ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Whiskey_Business,whiskey business,9,76,0.9999997705582736,2.294387567778981e-07,15,8,== Biography == | === Blues performer ===
http://dbpedia.org/class/yago/AuditoryCommunication107109019,http://dbpedia.org/resource/Whiskey_Business,whiskey business,9,76,0.9999997705582736,2.294387567778981e-07,15,8,== Biography == | === Blues performer ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Whiskey_Business,whiskey business,9,76,0.9999997705582736,2.294387567778981e-07,15,8,== Biography == | === Blues performer ===
http://dbpedia.org/class/yago/Episode106396330,http://dbpedia.org/resource/Whiskey_Business,whiskey business,9,76,0.9999997705582736,2.294387567778981e-07,15,8,== Biography == | === Blues performer ===
http://dbpedia.org/class/yago/Music107020895,http://dbpedia.org/resource/Whiskey_Business,whiskey business,9,76,0.9999997705582736,2.294387567778981e-07,15,8,== Biography == | === Blues performer ===
http://dbpedia.org/class/yago/Section106392001,http://dbpedia.org/resource/Whiskey_Business,whiskey business,9,76,0.9999997705582736,2.294387567778981e-07,15,8,== Biography == | === Blues performer ===
http://dbpedia.org/class/yago/Wikicat2013TelevisionEpisodes,http://dbpedia.org/resource/Whiskey_Business,whiskey business,9,76,0.9999997705582736,2.294387567778981e-07,15,8,== Biography == | === Blues performer ===
http://dbpedia.org/class/yago/WikicatTheSimpsons(season24)Episodes,http://dbpedia.org/resource/Whiskey_Business,whiskey business,9,76,0.9999997705582736,2.294387567778981e-07,15,8,== Biography == | === Blues performer ===
