types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Doctor_of_Music,Mus.D.,312,33,1.0,0.0,0,45,== Selected works == | === Writings ===
http://dbpedia.org/class/yago/Attribute100024264,http://dbpedia.org/resource/Doctor_of_Music,Mus.D.,312,33,1.0,0.0,0,45,== Selected works == | === Writings ===
http://dbpedia.org/class/yago/Degree105093890,http://dbpedia.org/resource/Doctor_of_Music,Mus.D.,312,33,1.0,0.0,0,45,== Selected works == | === Writings ===
http://dbpedia.org/class/yago/Property104916342,http://dbpedia.org/resource/Doctor_of_Music,Mus.D.,312,33,1.0,0.0,0,45,== Selected works == | === Writings ===
http://dbpedia.org/class/yago/WikicatDoctoralDegrees,http://dbpedia.org/resource/Doctor_of_Music,Mus.D.,312,33,1.0,0.0,0,45,== Selected works == | === Writings ===
