types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatComputerNetworks,http://dbpedia.org/resource/Content_delivery_network,CDN,364,32,0.9539894107171456,0.0482278633835357,0,96,== Selected discography == | === Original CDs ===
http://dbpedia.org/class/yago/WikicatDistributedDataStorageSystems,http://dbpedia.org/resource/Content_delivery_network,CDN,364,32,0.9539894107171456,0.0482278633835357,0,96,== Selected discography == | === Original CDs ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Content_delivery_network,CDN,364,32,0.9539894107171456,0.0482278633835357,0,96,== Selected discography == | === Original CDs ===
http://dbpedia.org/class/yago/ComputerNetwork103085333,http://dbpedia.org/resource/Content_delivery_network,CDN,364,32,0.9539894107171456,0.0482278633835357,0,96,== Selected discography == | === Original CDs ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Content_delivery_network,CDN,364,32,0.9539894107171456,0.0482278633835357,0,96,== Selected discography == | === Original CDs ===
http://dbpedia.org/class/yago/Network103820728,http://dbpedia.org/resource/Content_delivery_network,CDN,364,32,0.9539894107171456,0.0482278633835357,0,96,== Selected discography == | === Original CDs ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Content_delivery_network,CDN,364,32,0.9539894107171456,0.0482278633835357,0,96,== Selected discography == | === Original CDs ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Content_delivery_network,CDN,364,32,0.9539894107171456,0.0482278633835357,0,96,== Selected discography == | === Original CDs ===
http://dbpedia.org/class/yago/System104377057,http://dbpedia.org/resource/Content_delivery_network,CDN,364,32,0.9539894107171456,0.0482278633835357,0,96,== Selected discography == | === Original CDs ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Content_delivery_network,CDN,364,32,0.9539894107171456,0.0482278633835357,0,96,== Selected discography == | === Original CDs ===
http://dbpedia.org/class/yago/WikicatStreamingMediaSystems,http://dbpedia.org/resource/Content_delivery_network,CDN,364,32,0.9539894107171456,0.0482278633835357,0,96,== Selected discography == | === Original CDs ===
