types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatPrisons,http://dbpedia.org/resource/Supermax_prison,maximum security prison,299,37,0.8871373337409479,0.1210540967226831,1,20,== Personal life == | ==== Incarceration ====
http://dbpedia.org/class/yago/WikicatPrisonsInTheUnitedStates,http://dbpedia.org/resource/Supermax_prison,maximum security prison,299,37,0.8871373337409479,0.1210540967226831,1,20,== Personal life == | ==== Incarceration ====
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Supermax_prison,maximum security prison,299,37,0.8871373337409479,0.1210540967226831,1,20,== Personal life == | ==== Incarceration ====
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Supermax_prison,maximum security prison,299,37,0.8871373337409479,0.1210540967226831,1,20,== Personal life == | ==== Incarceration ====
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Supermax_prison,maximum security prison,299,37,0.8871373337409479,0.1210540967226831,1,20,== Personal life == | ==== Incarceration ====
http://dbpedia.org/class/yago/CorrectionalInstitution103111690,http://dbpedia.org/resource/Supermax_prison,maximum security prison,299,37,0.8871373337409479,0.1210540967226831,1,20,== Personal life == | ==== Incarceration ====
http://dbpedia.org/class/yago/Establishment103297735,http://dbpedia.org/resource/Supermax_prison,maximum security prison,299,37,0.8871373337409479,0.1210540967226831,1,20,== Personal life == | ==== Incarceration ====
http://dbpedia.org/class/yago/Institution103574555,http://dbpedia.org/resource/Supermax_prison,maximum security prison,299,37,0.8871373337409479,0.1210540967226831,1,20,== Personal life == | ==== Incarceration ====
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Supermax_prison,maximum security prison,299,37,0.8871373337409479,0.1210540967226831,1,20,== Personal life == | ==== Incarceration ====
http://dbpedia.org/class/yago/PenalInstitution103907654,http://dbpedia.org/resource/Supermax_prison,maximum security prison,299,37,0.8871373337409479,0.1210540967226831,1,20,== Personal life == | ==== Incarceration ====
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Supermax_prison,maximum security prison,299,37,0.8871373337409479,0.1210540967226831,1,20,== Personal life == | ==== Incarceration ====
http://dbpedia.org/class/yago/Prison104005630,http://dbpedia.org/resource/Supermax_prison,maximum security prison,299,37,0.8871373337409479,0.1210540967226831,1,20,== Personal life == | ==== Incarceration ====
http://dbpedia.org/class/yago/Structure104341686,http://dbpedia.org/resource/Supermax_prison,maximum security prison,299,37,0.8871373337409479,0.1210540967226831,1,20,== Personal life == | ==== Incarceration ====
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Supermax_prison,maximum security prison,299,37,0.8871373337409479,0.1210540967226831,1,20,== Personal life == | ==== Incarceration ====
http://dbpedia.org/class/yago/WikicatSupermaxPrisons,http://dbpedia.org/resource/Supermax_prison,maximum security prison,299,37,0.8871373337409479,0.1210540967226831,1,20,== Personal life == | ==== Incarceration ====
