types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Cottaging,cottaging,65,147,0.9999999081583482,9.184151024360448e-08,16,69,== Personal life == | === Sexuality ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Cottaging,cottaging,65,147,0.9999999081583482,9.184151024360448e-08,16,69,== Personal life == | === Sexuality ===
http://dbpedia.org/class/yago/Area102735688,http://dbpedia.org/resource/Cottaging,cottaging,65,147,0.9999999081583482,9.184151024360448e-08,16,69,== Personal life == | === Sexuality ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Cottaging,cottaging,65,147,0.9999999081583482,9.184151024360448e-08,16,69,== Personal life == | === Sexuality ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Cottaging,cottaging,65,147,0.9999999081583482,9.184151024360448e-08,16,69,== Personal life == | === Sexuality ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Cottaging,cottaging,65,147,0.9999999081583482,9.184151024360448e-08,16,69,== Personal life == | === Sexuality ===
http://dbpedia.org/class/yago/Room104105893,http://dbpedia.org/resource/Cottaging,cottaging,65,147,0.9999999081583482,9.184151024360448e-08,16,69,== Personal life == | === Sexuality ===
http://dbpedia.org/class/yago/Structure104341686,http://dbpedia.org/resource/Cottaging,cottaging,65,147,0.9999999081583482,9.184151024360448e-08,16,69,== Personal life == | === Sexuality ===
http://dbpedia.org/class/yago/Toilet104446276,http://dbpedia.org/resource/Cottaging,cottaging,65,147,0.9999999081583482,9.184151024360448e-08,16,69,== Personal life == | === Sexuality ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Cottaging,cottaging,65,147,0.9999999081583482,9.184151024360448e-08,16,69,== Personal life == | === Sexuality ===
http://dbpedia.org/class/yago/WikicatToilets,http://dbpedia.org/resource/Cottaging,cottaging,65,147,0.9999999081583482,9.184151024360448e-08,16,69,== Personal life == | === Sexuality ===
