types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Dechen_Shak-Dagsay,Dechen Shak-Dagsay,14,48,1.0,0.0,1,39,== Personal life == | === Religion ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Dechen_Shak-Dagsay,Dechen Shak-Dagsay,14,48,1.0,0.0,1,39,== Personal life == | === Religion ===
http://dbpedia.org/class/yago/Musician110339966,http://dbpedia.org/resource/Dechen_Shak-Dagsay,Dechen Shak-Dagsay,14,48,1.0,0.0,1,39,== Personal life == | === Religion ===
http://dbpedia.org/class/yago/Musician110340312,http://dbpedia.org/resource/Dechen_Shak-Dagsay,Dechen Shak-Dagsay,14,48,1.0,0.0,1,39,== Personal life == | === Religion ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Dechen_Shak-Dagsay,Dechen Shak-Dagsay,14,48,1.0,0.0,1,39,== Personal life == | === Religion ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Dechen_Shak-Dagsay,Dechen Shak-Dagsay,14,48,1.0,0.0,1,39,== Personal life == | === Religion ===
http://dbpedia.org/class/yago/Adult109605289,http://dbpedia.org/resource/Dechen_Shak-Dagsay,Dechen Shak-Dagsay,14,48,1.0,0.0,1,39,== Personal life == | === Religion ===
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/Dechen_Shak-Dagsay,Dechen Shak-Dagsay,14,48,1.0,0.0,1,39,== Personal life == | === Religion ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Dechen_Shak-Dagsay,Dechen Shak-Dagsay,14,48,1.0,0.0,1,39,== Personal life == | === Religion ===
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Dechen_Shak-Dagsay,Dechen Shak-Dagsay,14,48,1.0,0.0,1,39,== Personal life == | === Religion ===
http://dbpedia.org/class/yago/Entertainer109616922,http://dbpedia.org/resource/Dechen_Shak-Dagsay,Dechen Shak-Dagsay,14,48,1.0,0.0,1,39,== Personal life == | === Religion ===
http://dbpedia.org/class/yago/Female109619168,http://dbpedia.org/resource/Dechen_Shak-Dagsay,Dechen Shak-Dagsay,14,48,1.0,0.0,1,39,== Personal life == | === Religion ===
http://dbpedia.org/ontology/MusicalArtist,http://dbpedia.org/resource/Dechen_Shak-Dagsay,Dechen Shak-Dagsay,14,48,1.0,0.0,1,39,== Personal life == | === Religion ===
http://dbpedia.org/class/yago/WikicatFolkMusicians,http://dbpedia.org/resource/Dechen_Shak-Dagsay,Dechen Shak-Dagsay,14,48,1.0,0.0,1,39,== Personal life == | === Religion ===
http://dbpedia.org/class/yago/WikicatPeopleFromKathmandu,http://dbpedia.org/resource/Dechen_Shak-Dagsay,Dechen Shak-Dagsay,14,48,1.0,0.0,1,39,== Personal life == | === Religion ===
http://dbpedia.org/class/yago/WikicatSwissFemaleSingers,http://dbpedia.org/resource/Dechen_Shak-Dagsay,Dechen Shak-Dagsay,14,48,1.0,0.0,1,39,== Personal life == | === Religion ===
http://dbpedia.org/class/yago/WikicatSwissPeople,http://dbpedia.org/resource/Dechen_Shak-Dagsay,Dechen Shak-Dagsay,14,48,1.0,0.0,1,39,== Personal life == | === Religion ===
http://dbpedia.org/class/yago/WikicatSwissPeopleOfTibetanDescent,http://dbpedia.org/resource/Dechen_Shak-Dagsay,Dechen Shak-Dagsay,14,48,1.0,0.0,1,39,== Personal life == | === Religion ===
