types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Albert_Lee,Albert Lee,372,577,1.0,1.3819038277552024e-35,3,6,== Career == | === 1960s ===
http://dbpedia.org/class/yago/WikicatAmericanGuitarists,http://dbpedia.org/resource/Albert_Lee,Albert Lee,372,577,1.0,1.3819038277552024e-35,3,6,== Career == | === 1960s ===
http://dbpedia.org/class/yago/WikicatGuitarists,http://dbpedia.org/resource/Albert_Lee,Albert Lee,372,577,1.0,1.3819038277552024e-35,3,6,== Career == | === 1960s ===
http://dbpedia.org/class/yago/WikicatPeopleFromLeominster,http://dbpedia.org/resource/Albert_Lee,Albert Lee,372,577,1.0,1.3819038277552024e-35,3,6,== Career == | === 1960s ===
http://dbpedia.org/ontology/MusicalArtist,http://dbpedia.org/resource/Albert_Lee,Albert Lee,372,577,1.0,1.3819038277552024e-35,3,6,== Career == | === 1960s ===
http://dbpedia.org/class/yago/WikicatBluesGuitarists,http://dbpedia.org/resource/Albert_Lee,Albert Lee,372,577,1.0,1.3819038277552024e-35,3,6,== Career == | === 1960s ===
http://dbpedia.org/class/yago/WikicatBritishMusicians,http://dbpedia.org/resource/Albert_Lee,Albert Lee,372,577,1.0,1.3819038277552024e-35,3,6,== Career == | === 1960s ===
http://dbpedia.org/class/yago/WikicatBritishPeople,http://dbpedia.org/resource/Albert_Lee,Albert Lee,372,577,1.0,1.3819038277552024e-35,3,6,== Career == | === 1960s ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Albert_Lee,Albert Lee,372,577,1.0,1.3819038277552024e-35,3,6,== Career == | === 1960s ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Albert_Lee,Albert Lee,372,577,1.0,1.3819038277552024e-35,3,6,== Career == | === 1960s ===
http://dbpedia.org/class/yago/WikicatLivingPeople,http://dbpedia.org/resource/Albert_Lee,Albert Lee,372,577,1.0,1.3819038277552024e-35,3,6,== Career == | === 1960s ===
http://dbpedia.org/class/yago/WikicatRockGuitarists,http://dbpedia.org/resource/Albert_Lee,Albert Lee,372,577,1.0,1.3819038277552024e-35,3,6,== Career == | === 1960s ===
http://dbpedia.org/class/yago/WikicatRockMusicians,http://dbpedia.org/resource/Albert_Lee,Albert Lee,372,577,1.0,1.3819038277552024e-35,3,6,== Career == | === 1960s ===
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/Albert_Lee,Albert Lee,372,577,1.0,1.3819038277552024e-35,3,6,== Career == | === 1960s ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Albert_Lee,Albert Lee,372,577,1.0,1.3819038277552024e-35,3,6,== Career == | === 1960s ===
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Albert_Lee,Albert Lee,372,577,1.0,1.3819038277552024e-35,3,6,== Career == | === 1960s ===
http://dbpedia.org/class/yago/Entertainer109616922,http://dbpedia.org/resource/Albert_Lee,Albert Lee,372,577,1.0,1.3819038277552024e-35,3,6,== Career == | === 1960s ===
http://dbpedia.org/class/yago/Guitarist110151760,http://dbpedia.org/resource/Albert_Lee,Albert Lee,372,577,1.0,1.3819038277552024e-35,3,6,== Career == | === 1960s ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Albert_Lee,Albert Lee,372,577,1.0,1.3819038277552024e-35,3,6,== Career == | === 1960s ===
http://dbpedia.org/class/yago/Musician110339966,http://dbpedia.org/resource/Albert_Lee,Albert Lee,372,577,1.0,1.3819038277552024e-35,3,6,== Career == | === 1960s ===
http://dbpedia.org/class/yago/Musician110340312,http://dbpedia.org/resource/Albert_Lee,Albert Lee,372,577,1.0,1.3819038277552024e-35,3,6,== Career == | === 1960s ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Albert_Lee,Albert Lee,372,577,1.0,1.3819038277552024e-35,3,6,== Career == | === 1960s ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Albert_Lee,Albert Lee,372,577,1.0,1.3819038277552024e-35,3,6,== Career == | === 1960s ===
http://dbpedia.org/class/yago/Performer110415638,http://dbpedia.org/resource/Albert_Lee,Albert Lee,372,577,1.0,1.3819038277552024e-35,3,6,== Career == | === 1960s ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Albert_Lee,Albert Lee,372,577,1.0,1.3819038277552024e-35,3,6,== Career == | === 1960s ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Albert_Lee,Albert Lee,372,577,1.0,1.3819038277552024e-35,3,6,== Career == | === 1960s ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Albert_Lee,Albert Lee,372,577,1.0,1.3819038277552024e-35,3,6,== Career == | === 1960s ===
http://dbpedia.org/class/yago/WikicatEnglishGuitarists,http://dbpedia.org/resource/Albert_Lee,Albert Lee,372,577,1.0,1.3819038277552024e-35,3,6,== Career == | === 1960s ===
http://dbpedia.org/class/yago/WikicatEnglishSessionMusicians,http://dbpedia.org/resource/Albert_Lee,Albert Lee,372,577,1.0,1.3819038277552024e-35,3,6,== Career == | === 1960s ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Nina_Hagen,Nina Hagen,455,177,0.9999999999997726,2.2023993432136931e-13,7,12,== Career == | === 1980s–1990s ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Nina_Hagen,Nina Hagen,455,177,0.9999999999997726,2.2023993432136931e-13,7,12,== Career == | === 1980s–1990s ===
http://dbpedia.org/class/yago/WikicatActors,http://dbpedia.org/resource/Nina_Hagen,Nina Hagen,455,177,0.9999999999997726,2.2023993432136931e-13,7,12,== Career == | === 1980s–1990s ===
http://dbpedia.org/class/yago/WikicatJewishGermanActresses,http://dbpedia.org/resource/Nina_Hagen,Nina Hagen,455,177,0.9999999999997726,2.2023993432136931e-13,7,12,== Career == | === 1980s–1990s ===
http://dbpedia.org/ontology/Band,http://dbpedia.org/resource/Nina_Hagen,Nina Hagen,455,177,0.9999999999997726,2.2023993432136931e-13,7,12,== Career == | === 1980s–1990s ===
http://dbpedia.org/class/yago/WikicatColumbiaRecordsArtists,http://dbpedia.org/resource/Nina_Hagen,Nina Hagen,455,177,0.9999999999997726,2.2023993432136931e-13,7,12,== Career == | === 1980s–1990s ===
http://dbpedia.org/class/yago/WikicatConvertsToChristianity,http://dbpedia.org/resource/Nina_Hagen,Nina Hagen,455,177,0.9999999999997726,2.2023993432136931e-13,7,12,== Career == | === 1980s–1990s ===
http://dbpedia.org/class/yago/WikicatWomen,http://dbpedia.org/resource/Nina_Hagen,Nina Hagen,455,177,0.9999999999997726,2.2023993432136931e-13,7,12,== Career == | === 1980s–1990s ===
