types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Hachisuka_Masakatsu,Hachisuka Koroku,29,25,1.0,0.0,0,33,== Selected filmography == | === Television ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Hachisuka_Masakatsu,Hachisuka Koroku,29,25,1.0,0.0,0,33,== Selected filmography == | === Television ===
http://dbpedia.org/class/yago/Charge113306870,http://dbpedia.org/resource/Hachisuka_Masakatsu,Hachisuka Koroku,29,25,1.0,0.0,0,33,== Selected filmography == | === Television ===
http://dbpedia.org/class/yago/Cost113275847,http://dbpedia.org/resource/Hachisuka_Masakatsu,Hachisuka Koroku,29,25,1.0,0.0,0,33,== Selected filmography == | === Television ===
http://dbpedia.org/class/yago/Fee113320168,http://dbpedia.org/resource/Hachisuka_Masakatsu,Hachisuka Koroku,29,25,1.0,0.0,0,33,== Selected filmography == | === Television ===
http://dbpedia.org/class/yago/FixedCharge113318147,http://dbpedia.org/resource/Hachisuka_Masakatsu,Hachisuka Koroku,29,25,1.0,0.0,0,33,== Selected filmography == | === Television ===
http://dbpedia.org/class/yago/Outgo113275288,http://dbpedia.org/resource/Hachisuka_Masakatsu,Hachisuka Koroku,29,25,1.0,0.0,0,33,== Selected filmography == | === Television ===
http://dbpedia.org/class/yago/Possession100032613,http://dbpedia.org/resource/Hachisuka_Masakatsu,Hachisuka Koroku,29,25,1.0,0.0,0,33,== Selected filmography == | === Television ===
http://dbpedia.org/class/yago/Relation100031921,http://dbpedia.org/resource/Hachisuka_Masakatsu,Hachisuka Koroku,29,25,1.0,0.0,0,33,== Selected filmography == | === Television ===
http://dbpedia.org/class/yago/Retainer113323313,http://dbpedia.org/resource/Hachisuka_Masakatsu,Hachisuka Koroku,29,25,1.0,0.0,0,33,== Selected filmography == | === Television ===
http://dbpedia.org/class/yago/TransferredProperty113252973,http://dbpedia.org/resource/Hachisuka_Masakatsu,Hachisuka Koroku,29,25,1.0,0.0,0,33,== Selected filmography == | === Television ===
http://dbpedia.org/class/yago/WikicatToyotomiRetainers,http://dbpedia.org/resource/Hachisuka_Masakatsu,Hachisuka Koroku,29,25,1.0,0.0,0,33,== Selected filmography == | === Television ===
http://dbpedia.org/ontology/OfficeHolder,http://dbpedia.org/resource/Hachisuka_Masakatsu,Hachisuka Koroku,29,25,1.0,0.0,0,33,== Selected filmography == | === Television ===
