types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Arnold_Hermann_Ludwig_Heeren,Arnold Hermann Ludwig Heeren,47,62,1.0,0.0,15,9,== Life == | === Education ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Arnold_Hermann_Ludwig_Heeren,Arnold Hermann Ludwig Heeren,47,62,1.0,0.0,15,9,== Life == | === Education ===
http://dbpedia.org/class/yago/WikicatHistorians,http://dbpedia.org/resource/Arnold_Hermann_Ludwig_Heeren,Arnold Hermann Ludwig Heeren,47,62,1.0,0.0,15,9,== Life == | === Education ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Arnold_Hermann_Ludwig_Heeren,Arnold Hermann Ludwig Heeren,47,62,1.0,0.0,15,9,== Life == | === Education ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Arnold_Hermann_Ludwig_Heeren,Arnold Hermann Ludwig Heeren,47,62,1.0,0.0,15,9,== Life == | === Education ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Arnold_Hermann_Ludwig_Heeren,Arnold Hermann Ludwig Heeren,47,62,1.0,0.0,15,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Historian110177150,http://dbpedia.org/resource/Arnold_Hermann_Ludwig_Heeren,Arnold Hermann Ludwig Heeren,47,62,1.0,0.0,15,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Intellectual109621545,http://dbpedia.org/resource/Arnold_Hermann_Ludwig_Heeren,Arnold Hermann Ludwig Heeren,47,62,1.0,0.0,15,9,== Life == | === Education ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Arnold_Hermann_Ludwig_Heeren,Arnold Hermann Ludwig Heeren,47,62,1.0,0.0,15,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Arnold_Hermann_Ludwig_Heeren,Arnold Hermann Ludwig Heeren,47,62,1.0,0.0,15,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Arnold_Hermann_Ludwig_Heeren,Arnold Hermann Ludwig Heeren,47,62,1.0,0.0,15,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Arnold_Hermann_Ludwig_Heeren,Arnold Hermann Ludwig Heeren,47,62,1.0,0.0,15,9,== Life == | === Education ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Arnold_Hermann_Ludwig_Heeren,Arnold Hermann Ludwig Heeren,47,62,1.0,0.0,15,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Scholar110557854,http://dbpedia.org/resource/Arnold_Hermann_Ludwig_Heeren,Arnold Hermann Ludwig Heeren,47,62,1.0,0.0,15,9,== Life == | === Education ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Arnold_Hermann_Ludwig_Heeren,Arnold Hermann Ludwig Heeren,47,62,1.0,0.0,15,9,== Life == | === Education ===
http://dbpedia.org/class/yago/WikicatEthnicGermanPeople,http://dbpedia.org/resource/Arnold_Hermann_Ludwig_Heeren,Arnold Hermann Ludwig Heeren,47,62,1.0,0.0,15,9,== Life == | === Education ===
http://dbpedia.org/class/yago/WikicatGermanHistorians,http://dbpedia.org/resource/Arnold_Hermann_Ludwig_Heeren,Arnold Hermann Ludwig Heeren,47,62,1.0,0.0,15,9,== Life == | === Education ===
http://dbpedia.org/class/yago/WikicatPeopleFromBremen,http://dbpedia.org/resource/Arnold_Hermann_Ludwig_Heeren,Arnold Hermann Ludwig Heeren,47,62,1.0,0.0,15,9,== Life == | === Education ===
