types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Once_in_a_While_(1937_song),Once In A While,62,17,1.0,0.0,0,157,== Discography == | ==== With others ====
http://dbpedia.org/ontology/Single,http://dbpedia.org/resource/Once_in_a_While_(1937_song),Once In A While,62,17,1.0,0.0,0,157,== Discography == | ==== With others ====
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Once_in_a_While_(1937_song),Once In A While,62,17,1.0,0.0,0,157,== Discography == | ==== With others ====
http://dbpedia.org/class/yago/AuditoryCommunication107109019,http://dbpedia.org/resource/Once_in_a_While_(1937_song),Once In A While,62,17,1.0,0.0,0,157,== Discography == | ==== With others ====
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Once_in_a_While_(1937_song),Once In A While,62,17,1.0,0.0,0,157,== Discography == | ==== With others ====
http://dbpedia.org/class/yago/Measure100033615,http://dbpedia.org/resource/Once_in_a_While_(1937_song),Once In A While,62,17,1.0,0.0,0,157,== Discography == | ==== With others ====
http://dbpedia.org/class/yago/Music107020895,http://dbpedia.org/resource/Once_in_a_While_(1937_song),Once In A While,62,17,1.0,0.0,0,157,== Discography == | ==== With others ====
http://dbpedia.org/class/yago/MusicalComposition107037465,http://dbpedia.org/resource/Once_in_a_While_(1937_song),Once In A While,62,17,1.0,0.0,0,157,== Discography == | ==== With others ====
http://dbpedia.org/class/yago/Song107048000,http://dbpedia.org/resource/Once_in_a_While_(1937_song),Once In A While,62,17,1.0,0.0,0,157,== Discography == | ==== With others ====
http://dbpedia.org/class/yago/Standard107260623,http://dbpedia.org/resource/Once_in_a_While_(1937_song),Once In A While,62,17,1.0,0.0,0,157,== Discography == | ==== With others ====
http://dbpedia.org/class/yago/SystemOfMeasurement113577171,http://dbpedia.org/resource/Once_in_a_While_(1937_song),Once In A While,62,17,1.0,0.0,0,157,== Discography == | ==== With others ====
http://dbpedia.org/class/yago/Wikicat1930sJazzStandards,http://dbpedia.org/resource/Once_in_a_While_(1937_song),Once In A While,62,17,1.0,0.0,0,157,== Discography == | ==== With others ====
http://dbpedia.org/class/yago/Wikicat1937Songs,http://dbpedia.org/resource/Once_in_a_While_(1937_song),Once In A While,62,17,1.0,0.0,0,157,== Discography == | ==== With others ====
http://dbpedia.org/class/yago/WikicatPattiPageSongs,http://dbpedia.org/resource/Once_in_a_While_(1937_song),Once In A While,62,17,1.0,0.0,0,157,== Discography == | ==== With others ====
http://dbpedia.org/class/yago/WikicatSongsWithLyricsByBudGreen,http://dbpedia.org/resource/Once_in_a_While_(1937_song),Once In A While,62,17,1.0,0.0,0,157,== Discography == | ==== With others ====
http://dbpedia.org/class/yago/WikicatTheChimesSongs,http://dbpedia.org/resource/Once_in_a_While_(1937_song),Once In A While,62,17,1.0,0.0,0,157,== Discography == | ==== With others ====
http://dbpedia.org/class/yago/WikicatTommyDorseySongs,http://dbpedia.org/resource/Once_in_a_While_(1937_song),Once In A While,62,17,1.0,0.0,0,157,== Discography == | ==== With others ====
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Lê_Văn_Kim,Le Van Kim,33,12,0.9999999999946284,0.0,0,179,== Filmography == | === Concert films ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Lê_Văn_Kim,Le Van Kim,33,12,0.9999999999946284,0.0,0,179,== Filmography == | === Concert films ===
http://dbpedia.org/ontology/MilitaryPerson,http://dbpedia.org/resource/Lê_Văn_Kim,Le Van Kim,33,12,0.9999999999946284,0.0,0,179,== Filmography == | === Concert films ===
