types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Twenty-sixth_Amendment_to_the_United_States_Constitution,Twenty-sixth Amendment,112,134,0.9999999981149584,1.8850212920491893e-09,4,5,== Biography == | === Dunhill Records ===
http://dbpedia.org/class/yago/WikicatAmendmentsToTheUnitedStatesConstitution,http://dbpedia.org/resource/Twenty-sixth_Amendment_to_the_United_States_Constitution,Twenty-sixth Amendment,112,134,0.9999999981149584,1.8850212920491893e-09,4,5,== Biography == | === Dunhill Records ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Twenty-sixth_Amendment_to_the_United_States_Constitution,Twenty-sixth Amendment,112,134,0.9999999981149584,1.8850212920491893e-09,4,5,== Biography == | === Dunhill Records ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Twenty-sixth_Amendment_to_the_United_States_Constitution,Twenty-sixth Amendment,112,134,0.9999999981149584,1.8850212920491893e-09,4,5,== Biography == | === Dunhill Records ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Twenty-sixth_Amendment_to_the_United_States_Constitution,Twenty-sixth Amendment,112,134,0.9999999981149584,1.8850212920491893e-09,4,5,== Biography == | === Dunhill Records ===
http://dbpedia.org/class/yago/Action100037396,http://dbpedia.org/resource/Twenty-sixth_Amendment_to_the_United_States_Constitution,Twenty-sixth Amendment,112,134,0.9999999981149584,1.8850212920491893e-09,4,5,== Biography == | === Dunhill Records ===
http://dbpedia.org/class/yago/Amendment101250101,http://dbpedia.org/resource/Twenty-sixth_Amendment_to_the_United_States_Constitution,Twenty-sixth Amendment,112,134,0.9999999981149584,1.8850212920491893e-09,4,5,== Biography == | === Dunhill Records ===
http://dbpedia.org/class/yago/Change100191142,http://dbpedia.org/resource/Twenty-sixth_Amendment_to_the_United_States_Constitution,Twenty-sixth Amendment,112,134,0.9999999981149584,1.8850212920491893e-09,4,5,== Biography == | === Dunhill Records ===
http://dbpedia.org/class/yago/ChangeOfState100199130,http://dbpedia.org/resource/Twenty-sixth_Amendment_to_the_United_States_Constitution,Twenty-sixth Amendment,112,134,0.9999999981149584,1.8850212920491893e-09,4,5,== Biography == | === Dunhill Records ===
http://dbpedia.org/class/yago/Correction100258854,http://dbpedia.org/resource/Twenty-sixth_Amendment_to_the_United_States_Constitution,Twenty-sixth Amendment,112,134,0.9999999981149584,1.8850212920491893e-09,4,5,== Biography == | === Dunhill Records ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Twenty-sixth_Amendment_to_the_United_States_Constitution,Twenty-sixth Amendment,112,134,0.9999999981149584,1.8850212920491893e-09,4,5,== Biography == | === Dunhill Records ===
