types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Single,http://dbpedia.org/resource/Cass_Dillon,Cass Dillon,7,26,1.0,0.0,1,51,== Music career == | === 1994–present: Touring ===
http://dbpedia.org/class/yago/WikicatPeopleFromLongIsland,http://dbpedia.org/resource/Cass_Dillon,Cass Dillon,7,26,1.0,0.0,1,51,== Music career == | === 1994–present: Touring ===
http://dbpedia.org/ontology/Band,http://dbpedia.org/resource/Cass_Dillon,Cass Dillon,7,26,1.0,0.0,1,51,== Music career == | === 1994–present: Touring ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Cass_Dillon,Cass Dillon,7,26,1.0,0.0,1,51,== Music career == | === 1994–present: Touring ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Cass_Dillon,Cass Dillon,7,26,1.0,0.0,1,51,== Music career == | === 1994–present: Touring ===
http://dbpedia.org/class/yago/WikicatLivingPeople,http://dbpedia.org/resource/Cass_Dillon,Cass Dillon,7,26,1.0,0.0,1,51,== Music career == | === 1994–present: Touring ===
http://dbpedia.org/class/yago/WikicatSingersFromNewYorkCity,http://dbpedia.org/resource/Cass_Dillon,Cass Dillon,7,26,1.0,0.0,1,51,== Music career == | === 1994–present: Touring ===
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/Cass_Dillon,Cass Dillon,7,26,1.0,0.0,1,51,== Music career == | === 1994–present: Touring ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Cass_Dillon,Cass Dillon,7,26,1.0,0.0,1,51,== Music career == | === 1994–present: Touring ===
http://dbpedia.org/class/yago/Composer109947232,http://dbpedia.org/resource/Cass_Dillon,Cass Dillon,7,26,1.0,0.0,1,51,== Music career == | === 1994–present: Touring ===
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Cass_Dillon,Cass Dillon,7,26,1.0,0.0,1,51,== Music career == | === 1994–present: Touring ===
http://dbpedia.org/class/yago/Entertainer109616922,http://dbpedia.org/resource/Cass_Dillon,Cass Dillon,7,26,1.0,0.0,1,51,== Music career == | === 1994–present: Touring ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Cass_Dillon,Cass Dillon,7,26,1.0,0.0,1,51,== Music career == | === 1994–present: Touring ===
http://dbpedia.org/class/yago/Musician110339966,http://dbpedia.org/resource/Cass_Dillon,Cass Dillon,7,26,1.0,0.0,1,51,== Music career == | === 1994–present: Touring ===
http://dbpedia.org/class/yago/Musician110340312,http://dbpedia.org/resource/Cass_Dillon,Cass Dillon,7,26,1.0,0.0,1,51,== Music career == | === 1994–present: Touring ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Cass_Dillon,Cass Dillon,7,26,1.0,0.0,1,51,== Music career == | === 1994–present: Touring ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Cass_Dillon,Cass Dillon,7,26,1.0,0.0,1,51,== Music career == | === 1994–present: Touring ===
http://dbpedia.org/class/yago/Performer110415638,http://dbpedia.org/resource/Cass_Dillon,Cass Dillon,7,26,1.0,0.0,1,51,== Music career == | === 1994–present: Touring ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Cass_Dillon,Cass Dillon,7,26,1.0,0.0,1,51,== Music career == | === 1994–present: Touring ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Cass_Dillon,Cass Dillon,7,26,1.0,0.0,1,51,== Music career == | === 1994–present: Touring ===
http://dbpedia.org/class/yago/Singer110599806,http://dbpedia.org/resource/Cass_Dillon,Cass Dillon,7,26,1.0,0.0,1,51,== Music career == | === 1994–present: Touring ===
http://dbpedia.org/class/yago/Songwriter110624540,http://dbpedia.org/resource/Cass_Dillon,Cass Dillon,7,26,1.0,0.0,1,51,== Music career == | === 1994–present: Touring ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Cass_Dillon,Cass Dillon,7,26,1.0,0.0,1,51,== Music career == | === 1994–present: Touring ===
http://dbpedia.org/class/yago/WikicatSongwritersFromNewYork,http://dbpedia.org/resource/Cass_Dillon,Cass Dillon,7,26,1.0,0.0,1,51,== Music career == | === 1994–present: Touring ===
