types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/SportsEvent,http://dbpedia.org/resource/Famine_events,30 Hour Famine,26,66,1.0,0.0,8,36,== Other ventures == | === Philanthropy ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Famine_events,30 Hour Famine,26,66,1.0,0.0,8,36,== Other ventures == | === Philanthropy ===
http://dbpedia.org/class/yago/WikicatRecurringEventsDisestablishedIn1971,http://dbpedia.org/resource/Famine_events,30 Hour Famine,26,66,1.0,0.0,8,36,== Other ventures == | === Philanthropy ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Famine_events,30 Hour Famine,26,66,1.0,0.0,8,36,== Other ventures == | === Philanthropy ===
http://dbpedia.org/class/yago/Attribute100024264,http://dbpedia.org/resource/Famine_events,30 Hour Famine,26,66,1.0,0.0,8,36,== Other ventures == | === Philanthropy ===
http://dbpedia.org/class/yago/Condition113920835,http://dbpedia.org/resource/Famine_events,30 Hour Famine,26,66,1.0,0.0,8,36,== Other ventures == | === Philanthropy ===
http://dbpedia.org/class/yago/Dearth114449865,http://dbpedia.org/resource/Famine_events,30 Hour Famine,26,66,1.0,0.0,8,36,== Other ventures == | === Philanthropy ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Famine_events,30 Hour Famine,26,66,1.0,0.0,8,36,== Other ventures == | === Philanthropy ===
http://dbpedia.org/class/yago/Lack114449405,http://dbpedia.org/resource/Famine_events,30 Hour Famine,26,66,1.0,0.0,8,36,== Other ventures == | === Philanthropy ===
http://dbpedia.org/class/yago/Need114449126,http://dbpedia.org/resource/Famine_events,30 Hour Famine,26,66,1.0,0.0,8,36,== Other ventures == | === Philanthropy ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Famine_events,30 Hour Famine,26,66,1.0,0.0,8,36,== Other ventures == | === Philanthropy ===
http://dbpedia.org/class/yago/State100024720,http://dbpedia.org/resource/Famine_events,30 Hour Famine,26,66,1.0,0.0,8,36,== Other ventures == | === Philanthropy ===
http://dbpedia.org/class/yago/WikicatFamines,http://dbpedia.org/resource/Famine_events,30 Hour Famine,26,66,1.0,0.0,8,36,== Other ventures == | === Philanthropy ===
