types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Springett_Penn_(II),Springett,5,83,0.8350646196036073,0.0,1,6,== Career == | === Touring ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Springett_Penn_(II),Springett,5,83,0.8350646196036073,0.0,1,6,== Career == | === Touring ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Springett_Penn_(II),Springett,5,83,0.8350646196036073,0.0,1,6,== Career == | === Touring ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Springett_Penn_(II),Springett,5,83,0.8350646196036073,0.0,1,6,== Career == | === Touring ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Springett_Penn_(II),Springett,5,83,0.8350646196036073,0.0,1,6,== Career == | === Touring ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Springett_Penn_(II),Springett,5,83,0.8350646196036073,0.0,1,6,== Career == | === Touring ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Springett_Penn_(II),Springett,5,83,0.8350646196036073,0.0,1,6,== Career == | === Touring ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Springett_Penn_(II),Springett,5,83,0.8350646196036073,0.0,1,6,== Career == | === Touring ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Springett_Penn_(II),Springett,5,83,0.8350646196036073,0.0,1,6,== Career == | === Touring ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Springett_Penn_(II),Springett,5,83,0.8350646196036073,0.0,1,6,== Career == | === Touring ===
http://dbpedia.org/class/yago/Wikicat18th-centuryEnglishPeople,http://dbpedia.org/resource/Springett_Penn_(II),Springett,5,83,0.8350646196036073,0.0,1,6,== Career == | === Touring ===
http://dbpedia.org/class/yago/WikicatPennsylvaniaColonialPeople,http://dbpedia.org/resource/Springett_Penn_(II),Springett,5,83,0.8350646196036073,0.0,1,6,== Career == | === Touring ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Morrissey–Mullen,Morrissey-Mullen,57,194,0.982969440818509,0.0,0,7,== Career == | === Touring ===
http://dbpedia.org/class/yago/WikicatJazzFusionEnsembles,http://dbpedia.org/resource/Morrissey–Mullen,Morrissey-Mullen,57,194,0.982969440818509,0.0,0,7,== Career == | === Touring ===
http://dbpedia.org/ontology/Band,http://dbpedia.org/resource/Morrissey–Mullen,Morrissey-Mullen,57,194,0.982969440818509,0.0,0,7,== Career == | === Touring ===
http://dbpedia.org/class/yago/WikicatBritishJazzEnsembles,http://dbpedia.org/resource/Morrissey–Mullen,Morrissey-Mullen,57,194,0.982969440818509,0.0,0,7,== Career == | === Touring ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Morrissey–Mullen,Morrissey-Mullen,57,194,0.982969440818509,0.0,0,7,== Career == | === Touring ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Morrissey–Mullen,Morrissey-Mullen,57,194,0.982969440818509,0.0,0,7,== Career == | === Touring ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Morrissey–Mullen,Morrissey-Mullen,57,194,0.982969440818509,0.0,0,7,== Career == | === Touring ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Morrissey–Mullen,Morrissey-Mullen,57,194,0.982969440818509,0.0,0,7,== Career == | === Touring ===
http://dbpedia.org/class/yago/Ensemble108188235,http://dbpedia.org/resource/Morrissey–Mullen,Morrissey-Mullen,57,194,0.982969440818509,0.0,0,7,== Career == | === Touring ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Morrissey–Mullen,Morrissey-Mullen,57,194,0.982969440818509,0.0,0,7,== Career == | === Touring ===
http://dbpedia.org/class/yago/MusicalOrganization108246613,http://dbpedia.org/resource/Morrissey–Mullen,Morrissey-Mullen,57,194,0.982969440818509,0.0,0,7,== Career == | === Touring ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Morrissey–Mullen,Morrissey-Mullen,57,194,0.982969440818509,0.0,0,7,== Career == | === Touring ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Morrissey–Mullen,Morrissey-Mullen,57,194,0.982969440818509,0.0,0,7,== Career == | === Touring ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Esse_quam_videri,Esse Quam Videri,10,93,1.0,0.0,9,10,== Career == | === Recording ===
