types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Long_Beach_Convention_and_Entertainment_Center,Long Beach Arena,228,79,1.0,0.0,0,12,== Musical career == | === AFI ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Long_Beach_Convention_and_Entertainment_Center,Long Beach Arena,228,79,1.0,0.0,0,12,== Musical career == | === AFI ===
http://dbpedia.org/ontology/Building,http://dbpedia.org/resource/Long_Beach_Convention_and_Entertainment_Center,Long Beach Arena,228,79,1.0,0.0,0,12,== Musical career == | === AFI ===
