types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Space_Shuttle_program,Shuttle program,762,118,1.0,0.0,7,12,== NASA career == | === Apollo program ===
http://dbpedia.org/class/yago/WikicatNASAPrograms,http://dbpedia.org/resource/Space_Shuttle_program,Shuttle program,762,118,1.0,0.0,7,12,== NASA career == | === Apollo program ===
http://dbpedia.org/class/yago/Ability105616246,http://dbpedia.org/resource/Space_Shuttle_program,Shuttle program,762,118,1.0,0.0,7,12,== NASA career == | === Apollo program ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Space_Shuttle_program,Shuttle program,762,118,1.0,0.0,7,12,== NASA career == | === Apollo program ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Space_Shuttle_program,Shuttle program,762,118,1.0,0.0,7,12,== NASA career == | === Apollo program ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Space_Shuttle_program,Shuttle program,762,118,1.0,0.0,7,12,== NASA career == | === Apollo program ===
http://dbpedia.org/class/yago/Idea105833840,http://dbpedia.org/resource/Space_Shuttle_program,Shuttle program,762,118,1.0,0.0,7,12,== NASA career == | === Apollo program ===
http://dbpedia.org/class/yago/Know-how105616786,http://dbpedia.org/resource/Space_Shuttle_program,Shuttle program,762,118,1.0,0.0,7,12,== NASA career == | === Apollo program ===
http://dbpedia.org/class/yago/Method105660268,http://dbpedia.org/resource/Space_Shuttle_program,Shuttle program,762,118,1.0,0.0,7,12,== NASA career == | === Apollo program ===
http://dbpedia.org/class/yago/Plan105898568,http://dbpedia.org/resource/Space_Shuttle_program,Shuttle program,762,118,1.0,0.0,7,12,== NASA career == | === Apollo program ===
http://dbpedia.org/class/yago/Program105899087,http://dbpedia.org/resource/Space_Shuttle_program,Shuttle program,762,118,1.0,0.0,7,12,== NASA career == | === Apollo program ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Space_Shuttle_program,Shuttle program,762,118,1.0,0.0,7,12,== NASA career == | === Apollo program ===
http://dbpedia.org/class/yago/SpaceProgram105900716,http://dbpedia.org/resource/Space_Shuttle_program,Shuttle program,762,118,1.0,0.0,7,12,== NASA career == | === Apollo program ===
http://dbpedia.org/class/yago/System105661996,http://dbpedia.org/resource/Space_Shuttle_program,Shuttle program,762,118,1.0,0.0,7,12,== NASA career == | === Apollo program ===
http://dbpedia.org/class/yago/WikicatSpacePrograms,http://dbpedia.org/resource/Space_Shuttle_program,Shuttle program,762,118,1.0,0.0,7,12,== NASA career == | === Apollo program ===
