types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Nathan_Joseph,Nat Joseph,15,14,1.0,0.0,2,17,== Career == | === 1970s ===
http://dbpedia.org/ontology/MilitaryUnit,http://dbpedia.org/resource/Nathan_Joseph,Nat Joseph,15,14,1.0,0.0,2,17,== Career == | === 1970s ===
http://dbpedia.org/ontology/MusicalArtist,http://dbpedia.org/resource/Nathan_Joseph,Nat Joseph,15,14,1.0,0.0,2,17,== Career == | === 1970s ===
