types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Griselda_Gambaro,Griselda Gambaro,41,41,1.0,0.0,1,22,== Works == | === Operas ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Griselda_Gambaro,Griselda Gambaro,41,41,1.0,0.0,1,22,== Works == | === Operas ===
http://dbpedia.org/class/yago/WikicatArgentineArtists,http://dbpedia.org/resource/Griselda_Gambaro,Griselda Gambaro,41,41,1.0,0.0,1,22,== Works == | === Operas ===
http://dbpedia.org/class/yago/WikicatArgentineDramatistsAndPlaywrights,http://dbpedia.org/resource/Griselda_Gambaro,Griselda Gambaro,41,41,1.0,0.0,1,22,== Works == | === Operas ===
http://dbpedia.org/class/yago/WikicatArgentineEssayists,http://dbpedia.org/resource/Griselda_Gambaro,Griselda Gambaro,41,41,1.0,0.0,1,22,== Works == | === Operas ===
http://dbpedia.org/class/yago/WikicatArgentineExpatriatesInSpain,http://dbpedia.org/resource/Griselda_Gambaro,Griselda Gambaro,41,41,1.0,0.0,1,22,== Works == | === Operas ===
http://dbpedia.org/class/yago/WikicatArgentineNovelists,http://dbpedia.org/resource/Griselda_Gambaro,Griselda Gambaro,41,41,1.0,0.0,1,22,== Works == | === Operas ===
http://dbpedia.org/class/yago/WikicatArgentinePeopleOfItalianDescent,http://dbpedia.org/resource/Griselda_Gambaro,Griselda Gambaro,41,41,1.0,0.0,1,22,== Works == | === Operas ===
http://dbpedia.org/class/yago/WikicatArgentineShortStoryWriters,http://dbpedia.org/resource/Griselda_Gambaro,Griselda Gambaro,41,41,1.0,0.0,1,22,== Works == | === Operas ===
http://dbpedia.org/class/yago/WikicatArgentineWomenWriters,http://dbpedia.org/resource/Griselda_Gambaro,Griselda Gambaro,41,41,1.0,0.0,1,22,== Works == | === Operas ===
http://dbpedia.org/class/yago/WikicatGuggenheimFellows,http://dbpedia.org/resource/Griselda_Gambaro,Griselda Gambaro,41,41,1.0,0.0,1,22,== Works == | === Operas ===
http://dbpedia.org/class/yago/WikicatWomen,http://dbpedia.org/resource/Griselda_Gambaro,Griselda Gambaro,41,41,1.0,0.0,1,22,== Works == | === Operas ===
http://dbpedia.org/class/yago/WikicatWriters,http://dbpedia.org/resource/Griselda_Gambaro,Griselda Gambaro,41,41,1.0,0.0,1,22,== Works == | === Operas ===
http://dbpedia.org/class/yago/Woman110787470,http://dbpedia.org/resource/Griselda_Gambaro,Griselda Gambaro,41,41,1.0,0.0,1,22,== Works == | === Operas ===
http://dbpedia.org/class/yago/Writer110794014,http://dbpedia.org/resource/Griselda_Gambaro,Griselda Gambaro,41,41,1.0,0.0,1,22,== Works == | === Operas ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Griselda_Gambaro,Griselda Gambaro,41,41,1.0,0.0,1,22,== Works == | === Operas ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Griselda_Gambaro,Griselda Gambaro,41,41,1.0,0.0,1,22,== Works == | === Operas ===
http://dbpedia.org/class/yago/WikicatLivingPeople,http://dbpedia.org/resource/Griselda_Gambaro,Griselda Gambaro,41,41,1.0,0.0,1,22,== Works == | === Operas ===
http://dbpedia.org/class/yago/Absentee109757653,http://dbpedia.org/resource/Griselda_Gambaro,Griselda Gambaro,41,41,1.0,0.0,1,22,== Works == | === Operas ===
http://dbpedia.org/class/yago/Adult109605289,http://dbpedia.org/resource/Griselda_Gambaro,Griselda Gambaro,41,41,1.0,0.0,1,22,== Works == | === Operas ===
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/Griselda_Gambaro,Griselda Gambaro,41,41,1.0,0.0,1,22,== Works == | === Operas ===
http://dbpedia.org/class/yago/Associate109816771,http://dbpedia.org/resource/Griselda_Gambaro,Griselda Gambaro,41,41,1.0,0.0,1,22,== Works == | === Operas ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Griselda_Gambaro,Griselda Gambaro,41,41,1.0,0.0,1,22,== Works == | === Operas ===
http://dbpedia.org/class/yago/Colleague109935990,http://dbpedia.org/resource/Griselda_Gambaro,Griselda Gambaro,41,41,1.0,0.0,1,22,== Works == | === Operas ===
http://dbpedia.org/class/yago/Communicator109610660,http://dbpedia.org/resource/Griselda_Gambaro,Griselda Gambaro,41,41,1.0,0.0,1,22,== Works == | === Operas ===
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Griselda_Gambaro,Griselda Gambaro,41,41,1.0,0.0,1,22,== Works == | === Operas ===
http://dbpedia.org/class/yago/Dramatist110030277,http://dbpedia.org/resource/Griselda_Gambaro,Griselda Gambaro,41,41,1.0,0.0,1,22,== Works == | === Operas ===
http://dbpedia.org/class/yago/Essayist110064405,http://dbpedia.org/resource/Griselda_Gambaro,Griselda Gambaro,41,41,1.0,0.0,1,22,== Works == | === Operas ===
http://dbpedia.org/class/yago/Exile110071332,http://dbpedia.org/resource/Griselda_Gambaro,Griselda Gambaro,41,41,1.0,0.0,1,22,== Works == | === Operas ===
http://dbpedia.org/class/yago/Female109619168,http://dbpedia.org/resource/Griselda_Gambaro,Griselda Gambaro,41,41,1.0,0.0,1,22,== Works == | === Operas ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Griselda_Gambaro,Griselda Gambaro,41,41,1.0,0.0,1,22,== Works == | === Operas ===
http://dbpedia.org/class/yago/Novelist110363573,http://dbpedia.org/resource/Griselda_Gambaro,Griselda Gambaro,41,41,1.0,0.0,1,22,== Works == | === Operas ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Griselda_Gambaro,Griselda Gambaro,41,41,1.0,0.0,1,22,== Works == | === Operas ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Griselda_Gambaro,Griselda Gambaro,41,41,1.0,0.0,1,22,== Works == | === Operas ===
http://dbpedia.org/class/yago/Peer109626238,http://dbpedia.org/resource/Griselda_Gambaro,Griselda Gambaro,41,41,1.0,0.0,1,22,== Works == | === Operas ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Griselda_Gambaro,Griselda Gambaro,41,41,1.0,0.0,1,22,== Works == | === Operas ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Griselda_Gambaro,Griselda Gambaro,41,41,1.0,0.0,1,22,== Works == | === Operas ===
http://dbpedia.org/class/yago/Traveler109629752,http://dbpedia.org/resource/Griselda_Gambaro,Griselda Gambaro,41,41,1.0,0.0,1,22,== Works == | === Operas ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Griselda_Gambaro,Griselda Gambaro,41,41,1.0,0.0,1,22,== Works == | === Operas ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Richard_Dufallo,Richard Dufallo,10,137,1.0,0.0,1,26,== Works == | === Works for orchestra ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Richard_Dufallo,Richard Dufallo,10,137,1.0,0.0,1,26,== Works == | === Works for orchestra ===
http://dbpedia.org/class/yago/WikicatAmericanClassicalMusicians,http://dbpedia.org/resource/Richard_Dufallo,Richard Dufallo,10,137,1.0,0.0,1,26,== Works == | === Works for orchestra ===
http://dbpedia.org/class/yago/WikicatAmericanConservatoryAlumni,http://dbpedia.org/resource/Richard_Dufallo,Richard Dufallo,10,137,1.0,0.0,1,26,== Works == | === Works for orchestra ===
http://dbpedia.org/class/yago/WikicatContemporaryClassicalMusicPerformers,http://dbpedia.org/resource/Richard_Dufallo,Richard Dufallo,10,137,1.0,0.0,1,26,== Works == | === Works for orchestra ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Richard_Dufallo,Richard Dufallo,10,137,1.0,0.0,1,26,== Works == | === Works for orchestra ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Richard_Dufallo,Richard Dufallo,10,137,1.0,0.0,1,26,== Works == | === Works for orchestra ===
http://dbpedia.org/class/yago/Alumnus109786338,http://dbpedia.org/resource/Richard_Dufallo,Richard Dufallo,10,137,1.0,0.0,1,26,== Works == | === Works for orchestra ===
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/Richard_Dufallo,Richard Dufallo,10,137,1.0,0.0,1,26,== Works == | === Works for orchestra ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Richard_Dufallo,Richard Dufallo,10,137,1.0,0.0,1,26,== Works == | === Works for orchestra ===
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Richard_Dufallo,Richard Dufallo,10,137,1.0,0.0,1,26,== Works == | === Works for orchestra ===
http://dbpedia.org/class/yago/Entertainer109616922,http://dbpedia.org/resource/Richard_Dufallo,Richard Dufallo,10,137,1.0,0.0,1,26,== Works == | === Works for orchestra ===
http://dbpedia.org/class/yago/Intellectual109621545,http://dbpedia.org/resource/Richard_Dufallo,Richard Dufallo,10,137,1.0,0.0,1,26,== Works == | === Works for orchestra ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Richard_Dufallo,Richard Dufallo,10,137,1.0,0.0,1,26,== Works == | === Works for orchestra ===
http://dbpedia.org/class/yago/Musician110339966,http://dbpedia.org/resource/Richard_Dufallo,Richard Dufallo,10,137,1.0,0.0,1,26,== Works == | === Works for orchestra ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Richard_Dufallo,Richard Dufallo,10,137,1.0,0.0,1,26,== Works == | === Works for orchestra ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Richard_Dufallo,Richard Dufallo,10,137,1.0,0.0,1,26,== Works == | === Works for orchestra ===
http://dbpedia.org/class/yago/Performer110415638,http://dbpedia.org/resource/Richard_Dufallo,Richard Dufallo,10,137,1.0,0.0,1,26,== Works == | === Works for orchestra ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Richard_Dufallo,Richard Dufallo,10,137,1.0,0.0,1,26,== Works == | === Works for orchestra ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Richard_Dufallo,Richard Dufallo,10,137,1.0,0.0,1,26,== Works == | === Works for orchestra ===
http://dbpedia.org/class/yago/Scholar110557854,http://dbpedia.org/resource/Richard_Dufallo,Richard Dufallo,10,137,1.0,0.0,1,26,== Works == | === Works for orchestra ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Richard_Dufallo,Richard Dufallo,10,137,1.0,0.0,1,26,== Works == | === Works for orchestra ===
