types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Valet,hotel valet,573,237,1.0,0.0,0,14,== Biography == | === Film work ===
http://dbpedia.org/ontology/Country,http://dbpedia.org/resource/Valet,hotel valet,573,237,1.0,0.0,0,14,== Biography == | === Film work ===
http://dbpedia.org/ontology/PersonFunction,http://dbpedia.org/resource/Valet,hotel valet,573,237,1.0,0.0,0,14,== Biography == | === Film work ===
