types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatAsteraceaeGenera,http://dbpedia.org/resource/Senecio,Ragwort,2828,118,0.8318240521508795,0.202177308307263,1,27,== Career == | === The17 ===
http://dbpedia.org/ontology/Insect,http://dbpedia.org/resource/Senecio,Ragwort,2828,118,0.8318240521508795,0.202177308307263,1,27,== Career == | === The17 ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Senecio,Ragwort,2828,118,0.8318240521508795,0.202177308307263,1,27,== Career == | === The17 ===
http://dbpedia.org/class/yago/Category105838765,http://dbpedia.org/resource/Senecio,Ragwort,2828,118,0.8318240521508795,0.202177308307263,1,27,== Career == | === The17 ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Senecio,Ragwort,2828,118,0.8318240521508795,0.202177308307263,1,27,== Career == | === The17 ===
http://dbpedia.org/class/yago/Concept105835747,http://dbpedia.org/resource/Senecio,Ragwort,2828,118,0.8318240521508795,0.202177308307263,1,27,== Career == | === The17 ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Senecio,Ragwort,2828,118,0.8318240521508795,0.202177308307263,1,27,== Career == | === The17 ===
http://dbpedia.org/class/yago/Genus105845013,http://dbpedia.org/resource/Senecio,Ragwort,2828,118,0.8318240521508795,0.202177308307263,1,27,== Career == | === The17 ===
http://dbpedia.org/class/yago/Idea105833840,http://dbpedia.org/resource/Senecio,Ragwort,2828,118,0.8318240521508795,0.202177308307263,1,27,== Career == | === The17 ===
http://dbpedia.org/class/yago/Kind105839024,http://dbpedia.org/resource/Senecio,Ragwort,2828,118,0.8318240521508795,0.202177308307263,1,27,== Career == | === The17 ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Senecio,Ragwort,2828,118,0.8318240521508795,0.202177308307263,1,27,== Career == | === The17 ===
