types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Sport,http://dbpedia.org/resource/Atlantic_University_Sport,AUS,226,38,0.816262232295024,0.1357831772052104,0,27,== Discography == | === Singles ===
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/Atlantic_University_Sport,AUS,226,38,0.816262232295024,0.1357831772052104,0,27,== Discography == | === Singles ===
http://dbpedia.org/class/yago/WikicatCollegeAthleticsConferencesInCanada,http://dbpedia.org/resource/Atlantic_University_Sport,AUS,226,38,0.816262232295024,0.1357831772052104,0,27,== Discography == | === Singles ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Atlantic_University_Sport,AUS,226,38,0.816262232295024,0.1357831772052104,0,27,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Atlantic_University_Sport,AUS,226,38,0.816262232295024,0.1357831772052104,0,27,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Atlantic_University_Sport,AUS,226,38,0.816262232295024,0.1357831772052104,0,27,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Atlantic_University_Sport,AUS,226,38,0.816262232295024,0.1357831772052104,0,27,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Conference108308497,http://dbpedia.org/resource/Atlantic_University_Sport,AUS,226,38,0.816262232295024,0.1357831772052104,0,27,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Diversion100426928,http://dbpedia.org/resource/Atlantic_University_Sport,AUS,226,38,0.816262232295024,0.1357831772052104,0,27,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Atlantic_University_Sport,AUS,226,38,0.816262232295024,0.1357831772052104,0,27,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Gathering107975026,http://dbpedia.org/resource/Atlantic_University_Sport,AUS,226,38,0.816262232295024,0.1357831772052104,0,27,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Atlantic_University_Sport,AUS,226,38,0.816262232295024,0.1357831772052104,0,27,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Meeting108307589,http://dbpedia.org/resource/Atlantic_University_Sport,AUS,226,38,0.816262232295024,0.1357831772052104,0,27,== Discography == | === Singles ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Atlantic_University_Sport,AUS,226,38,0.816262232295024,0.1357831772052104,0,27,== Discography == | === Singles ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Atlantic_University_Sport,AUS,226,38,0.816262232295024,0.1357831772052104,0,27,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Sport100523513,http://dbpedia.org/resource/Atlantic_University_Sport,AUS,226,38,0.816262232295024,0.1357831772052104,0,27,== Discography == | === Singles ===
http://dbpedia.org/class/yago/WikicatSportsGoverningBodiesOfCanada,http://dbpedia.org/resource/Atlantic_University_Sport,AUS,226,38,0.816262232295024,0.1357831772052104,0,27,== Discography == | === Singles ===
