types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatBirdSubfamilies,http://dbpedia.org/resource/Nighthawk,Nighthawk,73,26,0.7438632509318508,0.1446527382853774,4,3,== Life and career == | === Early career ===
http://dbpedia.org/ontology/Bird,http://dbpedia.org/resource/Nighthawk,Nighthawk,73,26,0.7438632509318508,0.1446527382853774,4,3,== Life and career == | === Early career ===
http://umbel.org/umbel/rc/Animal,http://dbpedia.org/resource/Nighthawk,Nighthawk,73,26,0.7438632509318508,0.1446527382853774,4,3,== Life and career == | === Early career ===
http://umbel.org/umbel/rc/BiologicalLivingObject,http://dbpedia.org/resource/Nighthawk,Nighthawk,73,26,0.7438632509318508,0.1446527382853774,4,3,== Life and career == | === Early career ===
http://umbel.org/umbel/rc/Bird,http://dbpedia.org/resource/Nighthawk,Nighthawk,73,26,0.7438632509318508,0.1446527382853774,4,3,== Life and career == | === Early career ===
http://umbel.org/umbel/rc/EukaryoticCell,http://dbpedia.org/resource/Nighthawk,Nighthawk,73,26,0.7438632509318508,0.1446527382853774,4,3,== Life and career == | === Early career ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Nighthawk,Nighthawk,73,26,0.7438632509318508,0.1446527382853774,4,3,== Life and career == | === Early career ===
http://dbpedia.org/class/yago/BiologicalGroup107941170,http://dbpedia.org/resource/Nighthawk,Nighthawk,73,26,0.7438632509318508,0.1446527382853774,4,3,== Life and career == | === Early career ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Nighthawk,Nighthawk,73,26,0.7438632509318508,0.1446527382853774,4,3,== Life and career == | === Early career ===
http://dbpedia.org/class/yago/Subfamily108108627,http://dbpedia.org/resource/Nighthawk,Nighthawk,73,26,0.7438632509318508,0.1446527382853774,4,3,== Life and career == | === Early career ===
http://dbpedia.org/class/yago/TaxonomicGroup107992450,http://dbpedia.org/resource/Nighthawk,Nighthawk,73,26,0.7438632509318508,0.1446527382853774,4,3,== Life and career == | === Early career ===
