types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Place,http://dbpedia.org/resource/La_Mortella,La Mortella,14,48,0.9999999999995453,0.0,1,19,== Biography == | === Postwar ===
http://dbpedia.org/class/yago/Location100027167,http://dbpedia.org/resource/La_Mortella,La Mortella,14,48,0.9999999999995453,0.0,1,19,== Biography == | === Postwar ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/La_Mortella,La Mortella,14,48,0.9999999999995453,0.0,1,19,== Biography == | === Postwar ===
http://dbpedia.org/class/yago/Garden103417345,http://dbpedia.org/resource/La_Mortella,La Mortella,14,48,0.9999999999995453,0.0,1,19,== Biography == | === Postwar ===
http://dbpedia.org/class/yago/GeographicalArea108574314,http://dbpedia.org/resource/La_Mortella,La Mortella,14,48,0.9999999999995453,0.0,1,19,== Biography == | === Postwar ===
http://dbpedia.org/class/yago/WikicatGardensInCampania,http://dbpedia.org/resource/La_Mortella,La Mortella,14,48,0.9999999999995453,0.0,1,19,== Biography == | === Postwar ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/La_Mortella,La Mortella,14,48,0.9999999999995453,0.0,1,19,== Biography == | === Postwar ===
http://dbpedia.org/class/yago/Tract108673395,http://dbpedia.org/resource/La_Mortella,La Mortella,14,48,0.9999999999995453,0.0,1,19,== Biography == | === Postwar ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/La_Mortella,La Mortella,14,48,0.9999999999995453,0.0,1,19,== Biography == | === Postwar ===
http://dbpedia.org/class/yago/Plot108674739,http://dbpedia.org/resource/La_Mortella,La Mortella,14,48,0.9999999999995453,0.0,1,19,== Biography == | === Postwar ===
http://dbpedia.org/class/yago/Region108630985,http://dbpedia.org/resource/La_Mortella,La Mortella,14,48,0.9999999999995453,0.0,1,19,== Biography == | === Postwar ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/La_Mortella,La Mortella,14,48,0.9999999999995453,0.0,1,19,== Biography == | === Postwar ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/La_Mortella,La Mortella,14,48,0.9999999999995453,0.0,1,19,== Biography == | === Postwar ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/La_Mortella,La Mortella,14,48,0.9999999999995453,0.0,1,19,== Biography == | === Postwar ===
