types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Mountain_Avenue_station,Mountain Avenue,36,53,0.9999999931447832,0.0,5,3,== Biography == | === Life ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Mountain_Avenue_station,Mountain Avenue,36,53,0.9999999931447832,0.0,5,3,== Biography == | === Life ===
http://dbpedia.org/ontology/Place,http://dbpedia.org/resource/Pet_cemetery,pet cemetery,68,113,1.0,0.0,26,4,== Biography == | === Life ===
http://dbpedia.org/class/yago/WikicatAnimalCemeteries,http://dbpedia.org/resource/Pet_cemetery,pet cemetery,68,113,1.0,0.0,26,4,== Biography == | === Life ===
http://dbpedia.org/class/yago/WikicatAnimalMonuments,http://dbpedia.org/resource/Pet_cemetery,pet cemetery,68,113,1.0,0.0,26,4,== Biography == | === Life ===
http://dbpedia.org/class/yago/WikicatCemeteries,http://dbpedia.org/resource/Pet_cemetery,pet cemetery,68,113,1.0,0.0,26,4,== Biography == | === Life ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Pet_cemetery,pet cemetery,68,113,1.0,0.0,26,4,== Biography == | === Life ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Pet_cemetery,pet cemetery,68,113,1.0,0.0,26,4,== Biography == | === Life ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Pet_cemetery,pet cemetery,68,113,1.0,0.0,26,4,== Biography == | === Life ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Pet_cemetery,pet cemetery,68,113,1.0,0.0,26,4,== Biography == | === Life ===
http://dbpedia.org/class/yago/Cemetery108521623,http://dbpedia.org/resource/Pet_cemetery,pet cemetery,68,113,1.0,0.0,26,4,== Biography == | === Life ===
http://dbpedia.org/class/yago/GeographicalArea108574314,http://dbpedia.org/resource/Pet_cemetery,pet cemetery,68,113,1.0,0.0,26,4,== Biography == | === Life ===
http://dbpedia.org/class/yago/Location100027167,http://dbpedia.org/resource/Pet_cemetery,pet cemetery,68,113,1.0,0.0,26,4,== Biography == | === Life ===
http://dbpedia.org/class/yago/Memorial103743902,http://dbpedia.org/resource/Pet_cemetery,pet cemetery,68,113,1.0,0.0,26,4,== Biography == | === Life ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Pet_cemetery,pet cemetery,68,113,1.0,0.0,26,4,== Biography == | === Life ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Pet_cemetery,pet cemetery,68,113,1.0,0.0,26,4,== Biography == | === Life ===
http://dbpedia.org/class/yago/Region108630985,http://dbpedia.org/resource/Pet_cemetery,pet cemetery,68,113,1.0,0.0,26,4,== Biography == | === Life ===
http://dbpedia.org/class/yago/Site108651247,http://dbpedia.org/resource/Pet_cemetery,pet cemetery,68,113,1.0,0.0,26,4,== Biography == | === Life ===
http://dbpedia.org/class/yago/Structure104341686,http://dbpedia.org/resource/Pet_cemetery,pet cemetery,68,113,1.0,0.0,26,4,== Biography == | === Life ===
http://dbpedia.org/class/yago/Tract108673395,http://dbpedia.org/resource/Pet_cemetery,pet cemetery,68,113,1.0,0.0,26,4,== Biography == | === Life ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Pet_cemetery,pet cemetery,68,113,1.0,0.0,26,4,== Biography == | === Life ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Patent_attorney,Patent Attorney,313,80,0.9999999999988348,0.0,2,8,== Biography == | === Cartoons ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Patent_attorney,Patent Attorney,313,80,0.9999999999988348,0.0,2,8,== Biography == | === Cartoons ===
