types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/Comprehensive_campaign,corporate campaign,29,54,0.9999999957826162,0.0,1,18,== Other ventures == | === Endorsements ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Korea_National_Maritime_Museum,Korea National Maritime Museum,12,116,1.0,0.0,2,20,== Other ventures == | === Philanthropy ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Korea_National_Maritime_Museum,Korea National Maritime Museum,12,116,1.0,0.0,2,20,== Other ventures == | === Philanthropy ===
http://dbpedia.org/ontology/Museum,http://dbpedia.org/resource/Korea_National_Maritime_Museum,Korea National Maritime Museum,12,116,1.0,0.0,2,20,== Other ventures == | === Philanthropy ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Korea_National_Maritime_Museum,Korea National Maritime Museum,12,116,1.0,0.0,2,20,== Other ventures == | === Philanthropy ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Korea_National_Maritime_Museum,Korea National Maritime Museum,12,116,1.0,0.0,2,20,== Other ventures == | === Philanthropy ===
http://dbpedia.org/class/yago/WikicatMaritimeMuseums,http://dbpedia.org/resource/Korea_National_Maritime_Museum,Korea National Maritime Museum,12,116,1.0,0.0,2,20,== Other ventures == | === Philanthropy ===
http://dbpedia.org/class/yago/WikicatMuseumsEstablishedIn2012,http://dbpedia.org/resource/Korea_National_Maritime_Museum,Korea National Maritime Museum,12,116,1.0,0.0,2,20,== Other ventures == | === Philanthropy ===
http://dbpedia.org/class/yago/WikicatMuseumsInBusan,http://dbpedia.org/resource/Korea_National_Maritime_Museum,Korea National Maritime Museum,12,116,1.0,0.0,2,20,== Other ventures == | === Philanthropy ===
http://dbpedia.org/class/yago/WikicatNationalMuseumsOfSouthKorea,http://dbpedia.org/resource/Korea_National_Maritime_Museum,Korea National Maritime Museum,12,116,1.0,0.0,2,20,== Other ventures == | === Philanthropy ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Korea_National_Maritime_Museum,Korea National Maritime Museum,12,116,1.0,0.0,2,20,== Other ventures == | === Philanthropy ===
http://dbpedia.org/class/yago/Depository103177349,http://dbpedia.org/resource/Korea_National_Maritime_Museum,Korea National Maritime Museum,12,116,1.0,0.0,2,20,== Other ventures == | === Philanthropy ===
http://dbpedia.org/class/yago/Facility103315023,http://dbpedia.org/resource/Korea_National_Maritime_Museum,Korea National Maritime Museum,12,116,1.0,0.0,2,20,== Other ventures == | === Philanthropy ===
http://dbpedia.org/class/yago/Museum103800563,http://dbpedia.org/resource/Korea_National_Maritime_Museum,Korea National Maritime Museum,12,116,1.0,0.0,2,20,== Other ventures == | === Philanthropy ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Korea_National_Maritime_Museum,Korea National Maritime Museum,12,116,1.0,0.0,2,20,== Other ventures == | === Philanthropy ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Korea_National_Maritime_Museum,Korea National Maritime Museum,12,116,1.0,0.0,2,20,== Other ventures == | === Philanthropy ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Korea_National_Maritime_Museum,Korea National Maritime Museum,12,116,1.0,0.0,2,20,== Other ventures == | === Philanthropy ===
http://dbpedia.org/class/yago/WikicatTransportMuseumsInSouthKorea,http://dbpedia.org/resource/Korea_National_Maritime_Museum,Korea National Maritime Museum,12,116,1.0,0.0,2,20,== Other ventures == | === Philanthropy ===
