types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/William_Byrd,Gradualia,554,77,1.0,0.0,9,5,== Life  and career == | === Musicologist ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/William_Byrd,Gradualia,554,77,1.0,0.0,9,5,== Life  and career == | === Musicologist ===
http://dbpedia.org/class/yago/WikicatPeopleOfTheTudorPeriod,http://dbpedia.org/resource/William_Byrd,Gradualia,554,77,1.0,0.0,9,5,== Life  and career == | === Musicologist ===
http://dbpedia.org/class/yago/WikicatBritishComposers,http://dbpedia.org/resource/William_Byrd,Gradualia,554,77,1.0,0.0,9,5,== Life  and career == | === Musicologist ===
http://dbpedia.org/class/yago/WikicatBritishOrganists,http://dbpedia.org/resource/William_Byrd,Gradualia,554,77,1.0,0.0,9,5,== Life  and career == | === Musicologist ===
http://dbpedia.org/class/yago/WikicatClassicalOrganists,http://dbpedia.org/resource/William_Byrd,Gradualia,554,77,1.0,0.0,9,5,== Life  and career == | === Musicologist ===
http://dbpedia.org/class/yago/WikicatVirginalPlayers,http://dbpedia.org/resource/William_Byrd,Gradualia,554,77,1.0,0.0,9,5,== Life  and career == | === Musicologist ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/William_Byrd,Gradualia,554,77,1.0,0.0,9,5,== Life  and career == | === Musicologist ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/William_Byrd,Gradualia,554,77,1.0,0.0,9,5,== Life  and career == | === Musicologist ===
http://dbpedia.org/class/yago/WikicatMusiciansFromLondon,http://dbpedia.org/resource/William_Byrd,Gradualia,554,77,1.0,0.0,9,5,== Life  and career == | === Musicologist ===
http://dbpedia.org/class/yago/WikicatRenaissanceComposers,http://dbpedia.org/resource/William_Byrd,Gradualia,554,77,1.0,0.0,9,5,== Life  and career == | === Musicologist ===
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/William_Byrd,Gradualia,554,77,1.0,0.0,9,5,== Life  and career == | === Musicologist ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/William_Byrd,Gradualia,554,77,1.0,0.0,9,5,== Life  and career == | === Musicologist ===
http://dbpedia.org/class/yago/Composer109947232,http://dbpedia.org/resource/William_Byrd,Gradualia,554,77,1.0,0.0,9,5,== Life  and career == | === Musicologist ===
http://dbpedia.org/class/yago/Contestant109613191,http://dbpedia.org/resource/William_Byrd,Gradualia,554,77,1.0,0.0,9,5,== Life  and career == | === Musicologist ===
