types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Choral_scholar,Choral Scholars,63,57,1.0,0.0,0,24,== Membership of the Choir == | === Organ Scholars ===
http://dbpedia.org/class/yago/WikicatChoirSchools,http://dbpedia.org/resource/Choral_scholar,Choral Scholars,63,57,1.0,0.0,0,24,== Membership of the Choir == | === Organ Scholars ===
http://dbpedia.org/class/yago/WikicatUniversityChoirs,http://dbpedia.org/resource/Choral_scholar,Choral Scholars,63,57,1.0,0.0,0,24,== Membership of the Choir == | === Organ Scholars ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Choral_scholar,Choral Scholars,63,57,1.0,0.0,0,24,== Membership of the Choir == | === Organ Scholars ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Choral_scholar,Choral Scholars,63,57,1.0,0.0,0,24,== Membership of the Choir == | === Organ Scholars ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Choral_scholar,Choral Scholars,63,57,1.0,0.0,0,24,== Membership of the Choir == | === Organ Scholars ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Choral_scholar,Choral Scholars,63,57,1.0,0.0,0,24,== Membership of the Choir == | === Organ Scholars ===
http://dbpedia.org/class/yago/Choir108188638,http://dbpedia.org/resource/Choral_scholar,Choral Scholars,63,57,1.0,0.0,0,24,== Membership of the Choir == | === Organ Scholars ===
http://dbpedia.org/class/yago/ChoirSchool108410092,http://dbpedia.org/resource/Choral_scholar,Choral Scholars,63,57,1.0,0.0,0,24,== Membership of the Choir == | === Organ Scholars ===
http://dbpedia.org/class/yago/Chorus108187837,http://dbpedia.org/resource/Choral_scholar,Choral Scholars,63,57,1.0,0.0,0,24,== Membership of the Choir == | === Organ Scholars ===
http://dbpedia.org/class/yago/EducationalInstitution108276342,http://dbpedia.org/resource/Choral_scholar,Choral Scholars,63,57,1.0,0.0,0,24,== Membership of the Choir == | === Organ Scholars ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Choral_scholar,Choral Scholars,63,57,1.0,0.0,0,24,== Membership of the Choir == | === Organ Scholars ===
http://dbpedia.org/class/yago/Institution108053576,http://dbpedia.org/resource/Choral_scholar,Choral Scholars,63,57,1.0,0.0,0,24,== Membership of the Choir == | === Organ Scholars ===
http://dbpedia.org/class/yago/MusicalOrganization108246613,http://dbpedia.org/resource/Choral_scholar,Choral Scholars,63,57,1.0,0.0,0,24,== Membership of the Choir == | === Organ Scholars ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Choral_scholar,Choral Scholars,63,57,1.0,0.0,0,24,== Membership of the Choir == | === Organ Scholars ===
http://dbpedia.org/class/yago/PreparatorySchool108409969,http://dbpedia.org/resource/Choral_scholar,Choral Scholars,63,57,1.0,0.0,0,24,== Membership of the Choir == | === Organ Scholars ===
http://dbpedia.org/class/yago/School108276720,http://dbpedia.org/resource/Choral_scholar,Choral Scholars,63,57,1.0,0.0,0,24,== Membership of the Choir == | === Organ Scholars ===
http://dbpedia.org/class/yago/SecondarySchool108284481,http://dbpedia.org/resource/Choral_scholar,Choral Scholars,63,57,1.0,0.0,0,24,== Membership of the Choir == | === Organ Scholars ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Choral_scholar,Choral Scholars,63,57,1.0,0.0,0,24,== Membership of the Choir == | === Organ Scholars ===
