types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Hugo_Gallery,Hugo Gallery,10,47,1.0,0.0,0,11,== Biography == | === 1950s ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Hugo_Gallery,Hugo Gallery,10,47,1.0,0.0,0,11,== Biography == | === 1950s ===
http://dbpedia.org/class/yago/Area102735688,http://dbpedia.org/resource/Hugo_Gallery,Hugo Gallery,10,47,1.0,0.0,0,11,== Biography == | === 1950s ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Hugo_Gallery,Hugo Gallery,10,47,1.0,0.0,0,11,== Biography == | === 1950s ===
http://dbpedia.org/class/yago/Gallery103412058,http://dbpedia.org/resource/Hugo_Gallery,Hugo Gallery,10,47,1.0,0.0,0,11,== Biography == | === 1950s ===
http://dbpedia.org/ontology/Museum,http://dbpedia.org/resource/Hugo_Gallery,Hugo Gallery,10,47,1.0,0.0,0,11,== Biography == | === 1950s ===
http://dbpedia.org/class/yago/Room104105893,http://dbpedia.org/resource/Hugo_Gallery,Hugo Gallery,10,47,1.0,0.0,0,11,== Biography == | === 1950s ===
http://dbpedia.org/class/yago/Structure104341686,http://dbpedia.org/resource/Hugo_Gallery,Hugo Gallery,10,47,1.0,0.0,0,11,== Biography == | === 1950s ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Hugo_Gallery,Hugo Gallery,10,47,1.0,0.0,0,11,== Biography == | === 1950s ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Hugo_Gallery,Hugo Gallery,10,47,1.0,0.0,0,11,== Biography == | === 1950s ===
http://dbpedia.org/class/yago/WikicatContemporaryArtGalleriesInTheUnitedStates,http://dbpedia.org/resource/Hugo_Gallery,Hugo Gallery,10,47,1.0,0.0,0,11,== Biography == | === 1950s ===
http://dbpedia.org/class/yago/WikicatDefunctArtGalleriesInManhattan,http://dbpedia.org/resource/Hugo_Gallery,Hugo Gallery,10,47,1.0,0.0,0,11,== Biography == | === 1950s ===
http://dbpedia.org/class/yago/WikicatArtGalleriesDisestablishedIn1955,http://dbpedia.org/resource/Hugo_Gallery,Hugo Gallery,10,47,1.0,0.0,0,11,== Biography == | === 1950s ===
http://dbpedia.org/class/yago/WikicatArtGalleriesEstablishedIn1945,http://dbpedia.org/resource/Hugo_Gallery,Hugo Gallery,10,47,1.0,0.0,0,11,== Biography == | === 1950s ===
http://dbpedia.org/class/yago/WikicatArtGalleriesInManhattan,http://dbpedia.org/resource/Hugo_Gallery,Hugo Gallery,10,47,1.0,0.0,0,11,== Biography == | === 1950s ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Hugo_Gallery,Hugo Gallery,10,47,1.0,0.0,0,11,== Biography == | === 1950s ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Hugo_Gallery,Hugo Gallery,10,47,1.0,0.0,0,11,== Biography == | === 1950s ===
