types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Production_logo,opening logo,112,58,1.0,0.0,8,23,== Film and television scoring == | === 1990s ===
http://dbpedia.org/class/yago/WikicatProductionLogos,http://dbpedia.org/resource/Production_logo,opening logo,112,58,1.0,0.0,8,23,== Film and television scoring == | === 1990s ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Production_logo,opening logo,112,58,1.0,0.0,8,23,== Film and television scoring == | === 1990s ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Production_logo,opening logo,112,58,1.0,0.0,8,23,== Film and television scoring == | === 1990s ===
http://dbpedia.org/class/yago/Logo107272084,http://dbpedia.org/resource/Production_logo,opening logo,112,58,1.0,0.0,8,23,== Film and television scoring == | === 1990s ===
http://dbpedia.org/class/yago/Marker107270179,http://dbpedia.org/resource/Production_logo,opening logo,112,58,1.0,0.0,8,23,== Film and television scoring == | === 1990s ===
http://dbpedia.org/class/yago/Signal106791372,http://dbpedia.org/resource/Production_logo,opening logo,112,58,1.0,0.0,8,23,== Film and television scoring == | === 1990s ===
http://dbpedia.org/class/yago/Symbol106806469,http://dbpedia.org/resource/Production_logo,opening logo,112,58,1.0,0.0,8,23,== Film and television scoring == | === 1990s ===
http://dbpedia.org/class/yago/Trademark106851742,http://dbpedia.org/resource/Production_logo,opening logo,112,58,1.0,0.0,8,23,== Film and television scoring == | === 1990s ===
http://dbpedia.org/class/yago/WikicatTelevisionLogos,http://dbpedia.org/resource/Production_logo,opening logo,112,58,1.0,0.0,8,23,== Film and television scoring == | === 1990s ===
