types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Semantic_Web,Semantic Web,938,69,0.999999999126146,8.687783057107587e-10,2,13,== Biography and career == | === Technology Career ===
http://dbpedia.org/ontology/Software,http://dbpedia.org/resource/Semantic_Web,Semantic Web,938,69,0.999999999126146,8.687783057107587e-10,2,13,== Biography and career == | === Technology Career ===
http://dbpedia.org/ontology/MusicGenre,http://dbpedia.org/resource/Semantic_Web,Semantic Web,938,69,0.999999999126146,8.687783057107587e-10,2,13,== Biography and career == | === Technology Career ===
http://dbpedia.org/class/yago/WikicatInternetAges,http://dbpedia.org/resource/Semantic_Web,Semantic Web,938,69,0.999999999126146,8.687783057107587e-10,2,13,== Biography and career == | === Technology Career ===
http://dbpedia.org/class/yago/WikicatBuzzwords,http://dbpedia.org/resource/Semantic_Web,Semantic Web,938,69,0.999999999126146,8.687783057107587e-10,2,13,== Biography and career == | === Technology Career ===
http://dbpedia.org/class/yago/WikicatWebServices,http://dbpedia.org/resource/Semantic_Web,Semantic Web,938,69,0.999999999126146,8.687783057107587e-10,2,13,== Biography and career == | === Technology Career ===
http://dbpedia.org/class/yago/Work100575741,http://dbpedia.org/resource/Semantic_Web,Semantic Web,938,69,0.999999999126146,8.687783057107587e-10,2,13,== Biography and career == | === Technology Career ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Semantic_Web,Semantic Web,938,69,0.999999999126146,8.687783057107587e-10,2,13,== Biography and career == | === Technology Career ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Semantic_Web,Semantic Web,938,69,0.999999999126146,8.687783057107587e-10,2,13,== Biography and career == | === Technology Career ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Semantic_Web,Semantic Web,938,69,0.999999999126146,8.687783057107587e-10,2,13,== Biography and career == | === Technology Career ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Semantic_Web,Semantic Web,938,69,0.999999999126146,8.687783057107587e-10,2,13,== Biography and career == | === Technology Career ===
http://dbpedia.org/class/yago/Age104924103,http://dbpedia.org/resource/Semantic_Web,Semantic Web,938,69,0.999999999126146,8.687783057107587e-10,2,13,== Biography and career == | === Technology Career ===
http://dbpedia.org/class/yago/Attribute100024264,http://dbpedia.org/resource/Semantic_Web,Semantic Web,938,69,0.999999999126146,8.687783057107587e-10,2,13,== Biography and career == | === Technology Career ===
http://dbpedia.org/class/yago/Buzzword106608277,http://dbpedia.org/resource/Semantic_Web,Semantic Web,938,69,0.999999999126146,8.687783057107587e-10,2,13,== Biography and career == | === Technology Career ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Semantic_Web,Semantic Web,938,69,0.999999999126146,8.687783057107587e-10,2,13,== Biography and career == | === Technology Career ===
