types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Company,http://dbpedia.org/resource/Istanbul_cymbals,Istanbul cymbals,6,23,0.9999999999977548,0.0,1,10,== Equipment == | === Early days ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Istanbul_cymbals,Istanbul cymbals,6,23,0.9999999999977548,0.0,1,10,== Equipment == | === Early days ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Istanbul_cymbals,Istanbul cymbals,6,23,0.9999999999977548,0.0,1,10,== Equipment == | === Early days ===
http://dbpedia.org/class/yago/WikicatMusicalInstrumentMakers,http://dbpedia.org/resource/Istanbul_cymbals,Istanbul cymbals,6,23,0.9999999999977548,0.0,1,10,== Equipment == | === Early days ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Istanbul_cymbals,Istanbul cymbals,6,23,0.9999999999977548,0.0,1,10,== Equipment == | === Early days ===
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Istanbul_cymbals,Istanbul cymbals,6,23,0.9999999999977548,0.0,1,10,== Equipment == | === Early days ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Istanbul_cymbals,Istanbul cymbals,6,23,0.9999999999977548,0.0,1,10,== Equipment == | === Early days ===
http://dbpedia.org/class/yago/Maker110284064,http://dbpedia.org/resource/Istanbul_cymbals,Istanbul cymbals,6,23,0.9999999999977548,0.0,1,10,== Equipment == | === Early days ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Istanbul_cymbals,Istanbul cymbals,6,23,0.9999999999977548,0.0,1,10,== Equipment == | === Early days ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Istanbul_cymbals,Istanbul cymbals,6,23,0.9999999999977548,0.0,1,10,== Equipment == | === Early days ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Istanbul_cymbals,Istanbul cymbals,6,23,0.9999999999977548,0.0,1,10,== Equipment == | === Early days ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Istanbul_cymbals,Istanbul cymbals,6,23,0.9999999999977548,0.0,1,10,== Equipment == | === Early days ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Istanbul_cymbals,Istanbul cymbals,6,23,0.9999999999977548,0.0,1,10,== Equipment == | === Early days ===
