types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatBiologicalRecords,http://dbpedia.org/resource/Oldest_people,oldest living man,225,58,1.0,0.0,5,20,== Career == | === Later work ===
http://dbpedia.org/class/yago/WikicatRecordProgressions,http://dbpedia.org/resource/Oldest_people,oldest living man,225,58,1.0,0.0,5,20,== Career == | === Later work ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Oldest_people,oldest living man,225,58,1.0,0.0,5,20,== Career == | === Later work ===
http://dbpedia.org/class/yago/Arrangement107938773,http://dbpedia.org/resource/Oldest_people,oldest living man,225,58,1.0,0.0,5,20,== Career == | === Later work ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Oldest_people,oldest living man,225,58,1.0,0.0,5,20,== Career == | === Later work ===
http://dbpedia.org/class/yago/Evidence106643408,http://dbpedia.org/resource/Oldest_people,oldest living man,225,58,1.0,0.0,5,20,== Career == | === Later work ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Oldest_people,oldest living man,225,58,1.0,0.0,5,20,== Career == | === Later work ===
http://dbpedia.org/class/yago/Indication106797169,http://dbpedia.org/resource/Oldest_people,oldest living man,225,58,1.0,0.0,5,20,== Career == | === Later work ===
http://dbpedia.org/class/yago/Ordering108456993,http://dbpedia.org/resource/Oldest_people,oldest living man,225,58,1.0,0.0,5,20,== Career == | === Later work ===
http://dbpedia.org/class/yago/Progression108458912,http://dbpedia.org/resource/Oldest_people,oldest living man,225,58,1.0,0.0,5,20,== Career == | === Later work ===
http://dbpedia.org/class/yago/Record106647206,http://dbpedia.org/resource/Oldest_people,oldest living man,225,58,1.0,0.0,5,20,== Career == | === Later work ===
http://dbpedia.org/class/yago/Series108457976,http://dbpedia.org/resource/Oldest_people,oldest living man,225,58,1.0,0.0,5,20,== Career == | === Later work ===
