types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Gough_Street,Gough Street,22,236,1.0,0.0,7,8,== Early years == | === Education years ===
http://dbpedia.org/ontology/Road,http://dbpedia.org/resource/Gough_Street,Gough Street,22,236,1.0,0.0,7,8,== Early years == | === Education years ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Gough_Street,Gough Street,22,236,1.0,0.0,7,8,== Early years == | === Education years ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Gough_Street,Gough Street,22,236,1.0,0.0,7,8,== Early years == | === Education years ===
http://dbpedia.org/class/yago/WikicatRoadsInHongKong,http://dbpedia.org/resource/Gough_Street,Gough Street,22,236,1.0,0.0,7,8,== Early years == | === Education years ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Gough_Street,Gough Street,22,236,1.0,0.0,7,8,== Early years == | === Education years ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Gough_Street,Gough Street,22,236,1.0,0.0,7,8,== Early years == | === Education years ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Gough_Street,Gough Street,22,236,1.0,0.0,7,8,== Early years == | === Education years ===
http://dbpedia.org/class/yago/Road104096066,http://dbpedia.org/resource/Gough_Street,Gough Street,22,236,1.0,0.0,7,8,== Early years == | === Education years ===
http://dbpedia.org/class/yago/Way104564698,http://dbpedia.org/resource/Gough_Street,Gough Street,22,236,1.0,0.0,7,8,== Early years == | === Education years ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Gough_Street,Gough Street,22,236,1.0,0.0,7,8,== Early years == | === Education years ===
