types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatBallGames,http://dbpedia.org/resource/Boules,boules,201,23,0.9999999999889724,6.742109834884098e-12,0,12,== Filmography == | === French dubbing ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Boules,boules,201,23,0.9999999999889724,6.742109834884098e-12,0,12,== Filmography == | === French dubbing ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Boules,boules,201,23,0.9999999999889724,6.742109834884098e-12,0,12,== Filmography == | === French dubbing ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Boules,boules,201,23,0.9999999999889724,6.742109834884098e-12,0,12,== Filmography == | === French dubbing ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Boules,boules,201,23,0.9999999999889724,6.742109834884098e-12,0,12,== Filmography == | === French dubbing ===
http://dbpedia.org/class/yago/AthleticGame100463246,http://dbpedia.org/resource/Boules,boules,201,23,0.9999999999889724,6.742109834884098e-12,0,12,== Filmography == | === French dubbing ===
http://dbpedia.org/class/yago/BallGame100471437,http://dbpedia.org/resource/Boules,boules,201,23,0.9999999999889724,6.742109834884098e-12,0,12,== Filmography == | === French dubbing ===
http://dbpedia.org/class/yago/Diversion100426928,http://dbpedia.org/resource/Boules,boules,201,23,0.9999999999889724,6.742109834884098e-12,0,12,== Filmography == | === French dubbing ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Boules,boules,201,23,0.9999999999889724,6.742109834884098e-12,0,12,== Filmography == | === French dubbing ===
http://dbpedia.org/class/yago/FieldGame100467719,http://dbpedia.org/resource/Boules,boules,201,23,0.9999999999889724,6.742109834884098e-12,0,12,== Filmography == | === French dubbing ===
http://dbpedia.org/class/yago/Game100455599,http://dbpedia.org/resource/Boules,boules,201,23,0.9999999999889724,6.742109834884098e-12,0,12,== Filmography == | === French dubbing ===
http://dbpedia.org/class/yago/OutdoorGame100464651,http://dbpedia.org/resource/Boules,boules,201,23,0.9999999999889724,6.742109834884098e-12,0,12,== Filmography == | === French dubbing ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Boules,boules,201,23,0.9999999999889724,6.742109834884098e-12,0,12,== Filmography == | === French dubbing ===
http://dbpedia.org/class/yago/Sport100523513,http://dbpedia.org/resource/Boules,boules,201,23,0.9999999999889724,6.742109834884098e-12,0,12,== Filmography == | === French dubbing ===
http://dbpedia.org/class/yago/TeamSport100887544,http://dbpedia.org/resource/Boules,boules,201,23,0.9999999999889724,6.742109834884098e-12,0,12,== Filmography == | === French dubbing ===
http://dbpedia.org/class/yago/WikicatOlympicSports,http://dbpedia.org/resource/Boules,boules,201,23,0.9999999999889724,6.742109834884098e-12,0,12,== Filmography == | === French dubbing ===
http://dbpedia.org/class/yago/WikicatTeamSports,http://dbpedia.org/resource/Boules,boules,201,23,0.9999999999889724,6.742109834884098e-12,0,12,== Filmography == | === French dubbing ===
http://dbpedia.org/class/yago/WikicatThrowingSports,http://dbpedia.org/resource/Boules,boules,201,23,0.9999999999889724,6.742109834884098e-12,0,12,== Filmography == | === French dubbing ===
