types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/LanguageUnit106284225,http://dbpedia.org/resource/Pastorela,pastorela,46,43,1.0,0.0,5,93,== Works == | === Genres ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Pastorela,pastorela,46,43,1.0,0.0,5,93,== Works == | === Genres ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Pastorela,pastorela,46,43,1.0,0.0,5,93,== Works == | === Genres ===
http://dbpedia.org/class/yago/ExpressiveStyle107066659,http://dbpedia.org/resource/Pastorela,pastorela,46,43,1.0,0.0,5,93,== Works == | === Genres ===
http://dbpedia.org/class/yago/Form106290637,http://dbpedia.org/resource/Pastorela,pastorela,46,43,1.0,0.0,5,93,== Works == | === Genres ===
http://dbpedia.org/ontology/MusicGenre,http://dbpedia.org/resource/Pastorela,pastorela,46,43,1.0,0.0,5,93,== Works == | === Genres ===
http://dbpedia.org/class/yago/WikicatOccitanLiteraryGenres,http://dbpedia.org/resource/Pastorela,pastorela,46,43,1.0,0.0,5,93,== Works == | === Genres ===
http://dbpedia.org/class/yago/Part113809207,http://dbpedia.org/resource/Pastorela,pastorela,46,43,1.0,0.0,5,93,== Works == | === Genres ===
http://dbpedia.org/class/yago/Relation100031921,http://dbpedia.org/resource/Pastorela,pastorela,46,43,1.0,0.0,5,93,== Works == | === Genres ===
http://dbpedia.org/class/yago/WikicatWesternMedievalLyricForms,http://dbpedia.org/resource/Pastorela,pastorela,46,43,1.0,0.0,5,93,== Works == | === Genres ===
http://dbpedia.org/class/yago/Word106286395,http://dbpedia.org/resource/Pastorela,pastorela,46,43,1.0,0.0,5,93,== Works == | === Genres ===
http://dbpedia.org/class/yago/WritingStyle107092158,http://dbpedia.org/resource/Pastorela,pastorela,46,43,1.0,0.0,5,93,== Works == | === Genres ===
