types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Vladimir_Stasov,Vladimir Stasov,123,203,1.0,0.0,2,9,== Biography == | === Vocal development ===
http://dbpedia.org/class/yago/WikicatArtCritics,http://dbpedia.org/resource/Vladimir_Stasov,Vladimir Stasov,123,203,1.0,0.0,2,9,== Biography == | === Vocal development ===
http://dbpedia.org/class/yago/WikicatPeopleFromSaintPetersburg,http://dbpedia.org/resource/Vladimir_Stasov,Vladimir Stasov,123,203,1.0,0.0,2,9,== Biography == | === Vocal development ===
http://dbpedia.org/class/yago/WikicatWriters,http://dbpedia.org/resource/Vladimir_Stasov,Vladimir Stasov,123,203,1.0,0.0,2,9,== Biography == | === Vocal development ===
http://dbpedia.org/class/yago/Writer110794014,http://dbpedia.org/resource/Vladimir_Stasov,Vladimir Stasov,123,203,1.0,0.0,2,9,== Biography == | === Vocal development ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Vladimir_Stasov,Vladimir Stasov,123,203,1.0,0.0,2,9,== Biography == | === Vocal development ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Vladimir_Stasov,Vladimir Stasov,123,203,1.0,0.0,2,9,== Biography == | === Vocal development ===
http://dbpedia.org/class/yago/WikicatLibrettists,http://dbpedia.org/resource/Vladimir_Stasov,Vladimir Stasov,123,203,1.0,0.0,2,9,== Biography == | === Vocal development ===
http://dbpedia.org/class/yago/WikicatMusicCritics,http://dbpedia.org/resource/Vladimir_Stasov,Vladimir Stasov,123,203,1.0,0.0,2,9,== Biography == | === Vocal development ===
http://dbpedia.org/class/yago/WikicatRussianArtCritics,http://dbpedia.org/resource/Vladimir_Stasov,Vladimir Stasov,123,203,1.0,0.0,2,9,== Biography == | === Vocal development ===
http://dbpedia.org/class/yago/WikicatRussianCritics,http://dbpedia.org/resource/Vladimir_Stasov,Vladimir Stasov,123,203,1.0,0.0,2,9,== Biography == | === Vocal development ===
http://dbpedia.org/class/yago/WikicatRussianJournalists,http://dbpedia.org/resource/Vladimir_Stasov,Vladimir Stasov,123,203,1.0,0.0,2,9,== Biography == | === Vocal development ===
http://dbpedia.org/class/yago/WikicatRussianMusicCritics,http://dbpedia.org/resource/Vladimir_Stasov,Vladimir Stasov,123,203,1.0,0.0,2,9,== Biography == | === Vocal development ===
http://dbpedia.org/class/yago/WikicatRussianPeople,http://dbpedia.org/resource/Vladimir_Stasov,Vladimir Stasov,123,203,1.0,0.0,2,9,== Biography == | === Vocal development ===
http://dbpedia.org/class/yago/Adult109605289,http://dbpedia.org/resource/Vladimir_Stasov,Vladimir Stasov,123,203,1.0,0.0,2,9,== Biography == | === Vocal development ===
http://dbpedia.org/class/yago/ArtCritic109810867,http://dbpedia.org/resource/Vladimir_Stasov,Vladimir Stasov,123,203,1.0,0.0,2,9,== Biography == | === Vocal development ===
http://dbpedia.org/class/yago/Authority109824361,http://dbpedia.org/resource/Vladimir_Stasov,Vladimir Stasov,123,203,1.0,0.0,2,9,== Biography == | === Vocal development ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Vladimir_Stasov,Vladimir Stasov,123,203,1.0,0.0,2,9,== Biography == | === Vocal development ===
http://dbpedia.org/class/yago/Communicator109610660,http://dbpedia.org/resource/Vladimir_Stasov,Vladimir Stasov,123,203,1.0,0.0,2,9,== Biography == | === Vocal development ===
http://dbpedia.org/class/yago/Critic109979321,http://dbpedia.org/resource/Vladimir_Stasov,Vladimir Stasov,123,203,1.0,0.0,2,9,== Biography == | === Vocal development ===
http://dbpedia.org/class/yago/Critic109979589,http://dbpedia.org/resource/Vladimir_Stasov,Vladimir Stasov,123,203,1.0,0.0,2,9,== Biography == | === Vocal development ===
http://dbpedia.org/class/yago/Evaluator110066732,http://dbpedia.org/resource/Vladimir_Stasov,Vladimir Stasov,123,203,1.0,0.0,2,9,== Biography == | === Vocal development ===
http://dbpedia.org/class/yago/Expert109617867,http://dbpedia.org/resource/Vladimir_Stasov,Vladimir Stasov,123,203,1.0,0.0,2,9,== Biography == | === Vocal development ===
http://dbpedia.org/class/yago/Journalist110224578,http://dbpedia.org/resource/Vladimir_Stasov,Vladimir Stasov,123,203,1.0,0.0,2,9,== Biography == | === Vocal development ===
http://dbpedia.org/class/yago/Librettist110258152,http://dbpedia.org/resource/Vladimir_Stasov,Vladimir Stasov,123,203,1.0,0.0,2,9,== Biography == | === Vocal development ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Vladimir_Stasov,Vladimir Stasov,123,203,1.0,0.0,2,9,== Biography == | === Vocal development ===
http://dbpedia.org/class/yago/MusicCritic110339856,http://dbpedia.org/resource/Vladimir_Stasov,Vladimir Stasov,123,203,1.0,0.0,2,9,== Biography == | === Vocal development ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Vladimir_Stasov,Vladimir Stasov,123,203,1.0,0.0,2,9,== Biography == | === Vocal development ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Vladimir_Stasov,Vladimir Stasov,123,203,1.0,0.0,2,9,== Biography == | === Vocal development ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Vladimir_Stasov,Vladimir Stasov,123,203,1.0,0.0,2,9,== Biography == | === Vocal development ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Vladimir_Stasov,Vladimir Stasov,123,203,1.0,0.0,2,9,== Biography == | === Vocal development ===
http://dbpedia.org/class/yago/Professional110480253,http://dbpedia.org/resource/Vladimir_Stasov,Vladimir Stasov,123,203,1.0,0.0,2,9,== Biography == | === Vocal development ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Vladimir_Stasov,Vladimir Stasov,123,203,1.0,0.0,2,9,== Biography == | === Vocal development ===
