types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Work,http://dbpedia.org/resource/Coneheads,Conehead,63,27,0.9999999856588604,0.0,4,9,== Career == | === Conehead UK ===
http://dbpedia.org/class/yago/WikicatScienceFictionTelevisionCharacters,http://dbpedia.org/resource/Coneheads,Conehead,63,27,0.9999999856588604,0.0,4,9,== Career == | === Conehead UK ===
http://dbpedia.org/class/yago/Ability105616246,http://dbpedia.org/resource/Coneheads,Conehead,63,27,0.9999999856588604,0.0,4,9,== Career == | === Conehead UK ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Coneheads,Conehead,63,27,0.9999999856588604,0.0,4,9,== Career == | === Conehead UK ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Coneheads,Conehead,63,27,0.9999999856588604,0.0,4,9,== Career == | === Conehead UK ===
http://dbpedia.org/class/yago/Creativity105624700,http://dbpedia.org/resource/Coneheads,Conehead,63,27,0.9999999856588604,0.0,4,9,== Career == | === Conehead UK ===
http://dbpedia.org/class/yago/FictionalCharacter109587565,http://dbpedia.org/resource/Coneheads,Conehead,63,27,0.9999999856588604,0.0,4,9,== Career == | === Conehead UK ===
http://dbpedia.org/class/yago/ImaginaryBeing109483738,http://dbpedia.org/resource/Coneheads,Conehead,63,27,0.9999999856588604,0.0,4,9,== Career == | === Conehead UK ===
http://dbpedia.org/class/yago/Imagination105625465,http://dbpedia.org/resource/Coneheads,Conehead,63,27,0.9999999856588604,0.0,4,9,== Career == | === Conehead UK ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Coneheads,Conehead,63,27,0.9999999856588604,0.0,4,9,== Career == | === Conehead UK ===
http://dbpedia.org/class/yago/WikicatFictionalCharactersIntroducedIn1977,http://dbpedia.org/resource/Coneheads,Conehead,63,27,0.9999999856588604,0.0,4,9,== Career == | === Conehead UK ===
