types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatPsychiatricHospitalsInFiction,http://dbpedia.org/resource/Arkham_Asylum,Arkham Asylum,1303,50,1.0,0.0,2,3,== Career == | === Comics ===
http://dbpedia.org/ontology/Hospital,http://dbpedia.org/resource/Arkham_Asylum,Arkham Asylum,1303,50,1.0,0.0,2,3,== Career == | === Comics ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Arkham_Asylum,Arkham Asylum,1303,50,1.0,0.0,2,3,== Career == | === Comics ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Arkham_Asylum,Arkham Asylum,1303,50,1.0,0.0,2,3,== Career == | === Comics ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Arkham_Asylum,Arkham Asylum,1303,50,1.0,0.0,2,3,== Career == | === Comics ===
http://dbpedia.org/class/yago/Building102913152,http://dbpedia.org/resource/Arkham_Asylum,Arkham Asylum,1303,50,1.0,0.0,2,3,== Career == | === Comics ===
http://dbpedia.org/class/yago/Hospital103540595,http://dbpedia.org/resource/Arkham_Asylum,Arkham Asylum,1303,50,1.0,0.0,2,3,== Career == | === Comics ===
http://dbpedia.org/class/yago/MedicalBuilding103739518,http://dbpedia.org/resource/Arkham_Asylum,Arkham Asylum,1303,50,1.0,0.0,2,3,== Career == | === Comics ===
http://dbpedia.org/class/yago/MentalHospital103746574,http://dbpedia.org/resource/Arkham_Asylum,Arkham Asylum,1303,50,1.0,0.0,2,3,== Career == | === Comics ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Arkham_Asylum,Arkham Asylum,1303,50,1.0,0.0,2,3,== Career == | === Comics ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Arkham_Asylum,Arkham Asylum,1303,50,1.0,0.0,2,3,== Career == | === Comics ===
http://dbpedia.org/class/yago/Structure104341686,http://dbpedia.org/resource/Arkham_Asylum,Arkham Asylum,1303,50,1.0,0.0,2,3,== Career == | === Comics ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Arkham_Asylum,Arkham Asylum,1303,50,1.0,0.0,2,3,== Career == | === Comics ===
http://dbpedia.org/class/yago/WikicatFictionalHospitals,http://dbpedia.org/resource/Arkham_Asylum,Arkham Asylum,1303,50,1.0,0.0,2,3,== Career == | === Comics ===
