types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatAnnualEventsInTheUnitedKingdom,http://dbpedia.org/resource/Anti-Bullying_Week,anti-bullying week,9,4,1.0,0.0,2,33,== Other ventures == | === Philanthropy ===
http://dbpedia.org/class/yago/WikicatAnti-bullyingCampaigns,http://dbpedia.org/resource/Anti-Bullying_Week,anti-bullying week,9,4,1.0,0.0,2,33,== Other ventures == | === Philanthropy ===
http://dbpedia.org/ontology/SportsEvent,http://dbpedia.org/resource/Anti-Bullying_Week,anti-bullying week,9,4,1.0,0.0,2,33,== Other ventures == | === Philanthropy ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Anti-Bullying_Week,anti-bullying week,9,4,1.0,0.0,2,33,== Other ventures == | === Philanthropy ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Anti-Bullying_Week,anti-bullying week,9,4,1.0,0.0,2,33,== Other ventures == | === Philanthropy ===
http://dbpedia.org/class/yago/Contest107456188,http://dbpedia.org/resource/Anti-Bullying_Week,anti-bullying week,9,4,1.0,0.0,2,33,== Other ventures == | === Philanthropy ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Anti-Bullying_Week,anti-bullying week,9,4,1.0,0.0,2,33,== Other ventures == | === Philanthropy ===
http://dbpedia.org/class/yago/PoliticalCampaign107472929,http://dbpedia.org/resource/Anti-Bullying_Week,anti-bullying week,9,4,1.0,0.0,2,33,== Other ventures == | === Philanthropy ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Anti-Bullying_Week,anti-bullying week,9,4,1.0,0.0,2,33,== Other ventures == | === Philanthropy ===
http://dbpedia.org/class/yago/Race107472657,http://dbpedia.org/resource/Anti-Bullying_Week,anti-bullying week,9,4,1.0,0.0,2,33,== Other ventures == | === Philanthropy ===
http://dbpedia.org/class/yago/SocialEvent107288639,http://dbpedia.org/resource/Anti-Bullying_Week,anti-bullying week,9,4,1.0,0.0,2,33,== Other ventures == | === Philanthropy ===
