types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatAirGuns,http://dbpedia.org/resource/Paintball_marker,paintball guns,332,156,1.0,0.0,1,23,== Legal issues and controversies == | === Weapons ===
http://dbpedia.org/class/yago/WikicatPneumaticWeapons,http://dbpedia.org/resource/Paintball_marker,paintball guns,332,156,1.0,0.0,1,23,== Legal issues and controversies == | === Weapons ===
http://dbpedia.org/ontology/MusicalWork,http://dbpedia.org/resource/Paintball_marker,paintball guns,332,156,1.0,0.0,1,23,== Legal issues and controversies == | === Weapons ===
http://dbpedia.org/class/yago/WikicatRecreationalWeapons,http://dbpedia.org/resource/Paintball_marker,paintball guns,332,156,1.0,0.0,1,23,== Legal issues and controversies == | === Weapons ===
http://dbpedia.org/class/yago/WikicatRifles,http://dbpedia.org/resource/Paintball_marker,paintball guns,332,156,1.0,0.0,1,23,== Legal issues and controversies == | === Weapons ===
http://dbpedia.org/class/yago/AirGun102689274,http://dbpedia.org/resource/Paintball_marker,paintball guns,332,156,1.0,0.0,1,23,== Legal issues and controversies == | === Weapons ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Paintball_marker,paintball guns,332,156,1.0,0.0,1,23,== Legal issues and controversies == | === Weapons ===
http://dbpedia.org/class/yago/Device103183080,http://dbpedia.org/resource/Paintball_marker,paintball guns,332,156,1.0,0.0,1,23,== Legal issues and controversies == | === Weapons ===
http://dbpedia.org/class/yago/Firearm103343853,http://dbpedia.org/resource/Paintball_marker,paintball guns,332,156,1.0,0.0,1,23,== Legal issues and controversies == | === Weapons ===
http://dbpedia.org/class/yago/Gun103467984,http://dbpedia.org/resource/Paintball_marker,paintball guns,332,156,1.0,0.0,1,23,== Legal issues and controversies == | === Weapons ===
http://dbpedia.org/class/yago/Instrument103574816,http://dbpedia.org/resource/Paintball_marker,paintball guns,332,156,1.0,0.0,1,23,== Legal issues and controversies == | === Weapons ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Paintball_marker,paintball guns,332,156,1.0,0.0,1,23,== Legal issues and controversies == | === Weapons ===
http://dbpedia.org/class/yago/Marker103721797,http://dbpedia.org/resource/Paintball_marker,paintball guns,332,156,1.0,0.0,1,23,== Legal issues and controversies == | === Weapons ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Paintball_marker,paintball guns,332,156,1.0,0.0,1,23,== Legal issues and controversies == | === Weapons ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Paintball_marker,paintball guns,332,156,1.0,0.0,1,23,== Legal issues and controversies == | === Weapons ===
http://dbpedia.org/class/yago/Rifle104090263,http://dbpedia.org/resource/Paintball_marker,paintball guns,332,156,1.0,0.0,1,23,== Legal issues and controversies == | === Weapons ===
http://dbpedia.org/class/yago/Weapon104565375,http://dbpedia.org/resource/Paintball_marker,paintball guns,332,156,1.0,0.0,1,23,== Legal issues and controversies == | === Weapons ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Paintball_marker,paintball guns,332,156,1.0,0.0,1,23,== Legal issues and controversies == | === Weapons ===
http://dbpedia.org/class/yago/WikicatPaintballMarkers,http://dbpedia.org/resource/Paintball_marker,paintball guns,332,156,1.0,0.0,1,23,== Legal issues and controversies == | === Weapons ===
