types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Bass-baritone,Bass-baritone,652,31,1.0,0.0,0,18,== Compositions == | === Chamber ===
http://dbpedia.org/ontology/PersonFunction,http://dbpedia.org/resource/Bass-baritone,Bass-baritone,652,31,1.0,0.0,0,18,== Compositions == | === Chamber ===
http://dbpedia.org/class/yago/Writing106359877,http://dbpedia.org/resource/Bass-baritone,Bass-baritone,652,31,1.0,0.0,0,18,== Compositions == | === Chamber ===
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/Bass-baritone,Bass-baritone,652,31,1.0,0.0,0,18,== Compositions == | === Chamber ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Bass-baritone,Bass-baritone,652,31,1.0,0.0,0,18,== Compositions == | === Chamber ===
http://dbpedia.org/class/yago/WikicatMusicalScales,http://dbpedia.org/resource/Bass-baritone,Bass-baritone,652,31,1.0,0.0,0,18,== Compositions == | === Chamber ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Bass-baritone,Bass-baritone,652,31,1.0,0.0,0,18,== Compositions == | === Chamber ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Bass-baritone,Bass-baritone,652,31,1.0,0.0,0,18,== Compositions == | === Chamber ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Bass-baritone,Bass-baritone,652,31,1.0,0.0,0,18,== Compositions == | === Chamber ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Bass-baritone,Bass-baritone,652,31,1.0,0.0,0,18,== Compositions == | === Chamber ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Bass-baritone,Bass-baritone,652,31,1.0,0.0,0,18,== Compositions == | === Chamber ===
http://dbpedia.org/class/yago/MusicalNotation106814870,http://dbpedia.org/resource/Bass-baritone,Bass-baritone,652,31,1.0,0.0,0,18,== Compositions == | === Chamber ===
http://dbpedia.org/class/yago/Notation106808493,http://dbpedia.org/resource/Bass-baritone,Bass-baritone,652,31,1.0,0.0,0,18,== Compositions == | === Chamber ===
http://dbpedia.org/class/yago/Occupation100582388,http://dbpedia.org/resource/Bass-baritone,Bass-baritone,652,31,1.0,0.0,0,18,== Compositions == | === Chamber ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Bass-baritone,Bass-baritone,652,31,1.0,0.0,0,18,== Compositions == | === Chamber ===
http://dbpedia.org/class/yago/Scale106856568,http://dbpedia.org/resource/Bass-baritone,Bass-baritone,652,31,1.0,0.0,0,18,== Compositions == | === Chamber ===
http://dbpedia.org/class/yago/WikicatEntertainmentOccupations,http://dbpedia.org/resource/Bass-baritone,Bass-baritone,652,31,1.0,0.0,0,18,== Compositions == | === Chamber ===
