types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatArchaeologicalSitesInTheUnitedKingdom,http://dbpedia.org/resource/Crannog,Crannog,361,0,0.9999999032665888,0.0,0,13,== Discography == | === Selected credits ===
http://dbpedia.org/class/yago/WikicatArtificialIslands,http://dbpedia.org/resource/Crannog,Crannog,361,0,0.9999999032665888,0.0,0,13,== Discography == | === Selected credits ===
http://dbpedia.org/ontology/Island,http://dbpedia.org/resource/Crannog,Crannog,361,0,0.9999999032665888,0.0,0,13,== Discography == | === Selected credits ===
http://dbpedia.org/class/yago/WikicatIslands,http://dbpedia.org/resource/Crannog,Crannog,361,0,0.9999999032665888,0.0,0,13,== Discography == | === Selected credits ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Crannog,Crannog,361,0,0.9999999032665888,0.0,0,13,== Discography == | === Selected credits ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Crannog,Crannog,361,0,0.9999999032665888,0.0,0,13,== Discography == | === Selected credits ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Crannog,Crannog,361,0,0.9999999032665888,0.0,0,13,== Discography == | === Selected credits ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Crannog,Crannog,361,0,0.9999999032665888,0.0,0,13,== Discography == | === Selected credits ===
http://dbpedia.org/class/yago/Facility103315023,http://dbpedia.org/resource/Crannog,Crannog,361,0,0.9999999032665888,0.0,0,13,== Discography == | === Selected credits ===
http://dbpedia.org/class/yago/Garrison103420559,http://dbpedia.org/resource/Crannog,Crannog,361,0,0.9999999032665888,0.0,0,13,== Discography == | === Selected credits ===
http://dbpedia.org/class/yago/GeographicalArea108574314,http://dbpedia.org/resource/Crannog,Crannog,361,0,0.9999999032665888,0.0,0,13,== Discography == | === Selected credits ===
http://dbpedia.org/class/yago/Island109316454,http://dbpedia.org/resource/Crannog,Crannog,361,0,0.9999999032665888,0.0,0,13,== Discography == | === Selected credits ===
