types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Computer_programming,Computer Programming,2453,54,1.0,0.0,6,8,== Biography == | === Early work ===
http://dbpedia.org/ontology/MusicGenre,http://dbpedia.org/resource/Computer_programming,Computer Programming,2453,54,1.0,0.0,6,8,== Biography == | === Early work ===
http://dbpedia.org/ontology/Election,http://dbpedia.org/resource/Computer_programming,Computer Programming,2453,54,1.0,0.0,6,8,== Biography == | === Early work ===
