types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/George_Tremlett,George Tremlett,14,51,1.0,0.0,16,27,== Life and career == | === Aftermath ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/George_Tremlett,George Tremlett,14,51,1.0,0.0,16,27,== Life and career == | === Aftermath ===
http://dbpedia.org/class/yago/Journalist110224578,http://dbpedia.org/resource/George_Tremlett,George Tremlett,14,51,1.0,0.0,16,27,== Life and career == | === Aftermath ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/George_Tremlett,George Tremlett,14,51,1.0,0.0,16,27,== Life and career == | === Aftermath ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/George_Tremlett,George Tremlett,14,51,1.0,0.0,16,27,== Life and career == | === Aftermath ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/George_Tremlett,George Tremlett,14,51,1.0,0.0,16,27,== Life and career == | === Aftermath ===
http://dbpedia.org/class/yago/Biographer109855433,http://dbpedia.org/resource/George_Tremlett,George Tremlett,14,51,1.0,0.0,16,27,== Life and career == | === Aftermath ===
http://dbpedia.org/class/yago/Bookseller109866473,http://dbpedia.org/resource/George_Tremlett,George Tremlett,14,51,1.0,0.0,16,27,== Life and career == | === Aftermath ===
http://dbpedia.org/class/yago/Businessman109882007,http://dbpedia.org/resource/George_Tremlett,George Tremlett,14,51,1.0,0.0,16,27,== Life and career == | === Aftermath ===
http://dbpedia.org/class/yago/Businessperson109882716,http://dbpedia.org/resource/George_Tremlett,George Tremlett,14,51,1.0,0.0,16,27,== Life and career == | === Aftermath ===
http://dbpedia.org/class/yago/Capitalist109609232,http://dbpedia.org/resource/George_Tremlett,George Tremlett,14,51,1.0,0.0,16,27,== Life and career == | === Aftermath ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/George_Tremlett,George Tremlett,14,51,1.0,0.0,16,27,== Life and career == | === Aftermath ===
http://dbpedia.org/class/yago/Communicator109610660,http://dbpedia.org/resource/George_Tremlett,George Tremlett,14,51,1.0,0.0,16,27,== Life and career == | === Aftermath ===
http://dbpedia.org/class/yago/WikicatPeopleFromCarmarthenshire,http://dbpedia.org/resource/George_Tremlett,George Tremlett,14,51,1.0,0.0,16,27,== Life and career == | === Aftermath ===
http://dbpedia.org/class/yago/WikicatPeopleEducatedAtKingEdwardVISchoolStratford-upon-Avon,http://dbpedia.org/resource/George_Tremlett,George Tremlett,14,51,1.0,0.0,16,27,== Life and career == | === Aftermath ===
http://dbpedia.org/class/yago/WikicatLivingPeople,http://dbpedia.org/resource/George_Tremlett,George Tremlett,14,51,1.0,0.0,16,27,== Life and career == | === Aftermath ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/George_Tremlett,George Tremlett,14,51,1.0,0.0,16,27,== Life and career == | === Aftermath ===
http://dbpedia.org/class/yago/Owner110388924,http://dbpedia.org/resource/George_Tremlett,George Tremlett,14,51,1.0,0.0,16,27,== Life and career == | === Aftermath ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/George_Tremlett,George Tremlett,14,51,1.0,0.0,16,27,== Life and career == | === Aftermath ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/George_Tremlett,George Tremlett,14,51,1.0,0.0,16,27,== Life and career == | === Aftermath ===
http://dbpedia.org/class/yago/WikicatEnglishBiographers,http://dbpedia.org/resource/George_Tremlett,George Tremlett,14,51,1.0,0.0,16,27,== Life and career == | === Aftermath ===
http://dbpedia.org/class/yago/WikicatEnglishBooksellers,http://dbpedia.org/resource/George_Tremlett,George Tremlett,14,51,1.0,0.0,16,27,== Life and career == | === Aftermath ===
http://dbpedia.org/class/yago/WikicatEnglishMusicJournalists,http://dbpedia.org/resource/George_Tremlett,George Tremlett,14,51,1.0,0.0,16,27,== Life and career == | === Aftermath ===
http://dbpedia.org/class/yago/Writer110794014,http://dbpedia.org/resource/George_Tremlett,George Tremlett,14,51,1.0,0.0,16,27,== Life and career == | === Aftermath ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/George_Tremlett,George Tremlett,14,51,1.0,0.0,16,27,== Life and career == | === Aftermath ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/George_Tremlett,George Tremlett,14,51,1.0,0.0,16,27,== Life and career == | === Aftermath ===
