types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Karl_Marx_Theatre,Karl Marx Theater,18,17,1.0,0.0,1,71,== Discography == | === Other albums ===
http://www.wikidata.org/entity/Q41176,http://dbpedia.org/resource/Karl_Marx_Theatre,Karl Marx Theater,18,17,1.0,0.0,1,71,== Discography == | === Other albums ===
http://dbpedia.org/class/yago/WikicatTheatresInHavana,http://dbpedia.org/resource/Karl_Marx_Theatre,Karl Marx Theater,18,17,1.0,0.0,1,71,== Discography == | === Other albums ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Karl_Marx_Theatre,Karl Marx Theater,18,17,1.0,0.0,1,71,== Discography == | === Other albums ===
http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/Karl_Marx_Theatre,Karl Marx Theater,18,17,1.0,0.0,1,71,== Discography == | === Other albums ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Karl_Marx_Theatre,Karl Marx Theater,18,17,1.0,0.0,1,71,== Discography == | === Other albums ===
http://dbpedia.org/class/yago/Building102913152,http://dbpedia.org/resource/Karl_Marx_Theatre,Karl Marx Theater,18,17,1.0,0.0,1,71,== Discography == | === Other albums ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Karl_Marx_Theatre,Karl Marx Theater,18,17,1.0,0.0,1,71,== Discography == | === Other albums ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Karl_Marx_Theatre,Karl Marx Theater,18,17,1.0,0.0,1,71,== Discography == | === Other albums ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Karl_Marx_Theatre,Karl Marx Theater,18,17,1.0,0.0,1,71,== Discography == | === Other albums ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Karl_Marx_Theatre,Karl Marx Theater,18,17,1.0,0.0,1,71,== Discography == | === Other albums ===
http://dbpedia.org/ontology/Building,http://dbpedia.org/resource/Karl_Marx_Theatre,Karl Marx Theater,18,17,1.0,0.0,1,71,== Discography == | === Other albums ===
http://dbpedia.org/ontology/Venue,http://dbpedia.org/resource/Karl_Marx_Theatre,Karl Marx Theater,18,17,1.0,0.0,1,71,== Discography == | === Other albums ===
http://dbpedia.org/class/yago/Structure104341686,http://dbpedia.org/resource/Karl_Marx_Theatre,Karl Marx Theater,18,17,1.0,0.0,1,71,== Discography == | === Other albums ===
http://dbpedia.org/class/yago/Theater104417809,http://dbpedia.org/resource/Karl_Marx_Theatre,Karl Marx Theater,18,17,1.0,0.0,1,71,== Discography == | === Other albums ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Karl_Marx_Theatre,Karl Marx Theater,18,17,1.0,0.0,1,71,== Discography == | === Other albums ===
